[4/21/23 09:25PM] 4bit used command ::vote | Player rights = PLAYER	
[4/21/23 09:26PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 09:26PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 09:26PM] 4bit used command ::home | Player rights = PLAYER	
[4/21/23 09:26PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 09:28PM] 4bit used command ::referal | Player rights = PLAYER	
[4/21/23 09:28PM] 4bit used command ::reff | Player rights = PLAYER	
[4/21/23 09:28PM] 4bit used command ::refferal | Player rights = PLAYER	
[4/21/23 09:28PM] 4bit used command ::Reff | Player rights = PLAYER	
[4/21/23 09:28PM] 4bit used command ::referal | Player rights = PLAYER	
[4/21/23 09:28PM] 4bit used command ::ref | Player rights = PLAYER	
[4/21/23 09:31PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 09:32PM] 4bit used command ::veigar | Player rights = PLAYER	
[4/21/23 09:34PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 09:36PM] 4bit used command ::claimreward 1 | Player rights = PLAYER	
[4/21/23 09:36PM] 4bit used command ::claim 1 | Player rights = PLAYER	
[4/21/23 09:36PM] 4bit used command ::reward 1 | Player rights = PLAYER	
[4/21/23 09:36PM] 4bit used command ::Reward 1 | Player rights = PLAYER	
[4/21/23 09:36PM] 4bit used command ::reward 1 | Player rights = PLAYER	
[4/21/23 09:36PM] 4bit used command ::Reward 1 | Player rights = PLAYER	
[4/21/23 09:37PM] 4bit used command ::home | Player rights = PLAYER	
[4/21/23 09:39PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 09:40PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 09:40PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 09:42PM] 4bit used command ::Vb | Player rights = PLAYER	
[4/21/23 09:42PM] 4bit used command ::voteboss | Player rights = PLAYER	
[4/21/23 09:42PM] 4bit used command ::pos | Player rights = PLAYER	
[4/21/23 09:44PM] 4bit used command ::home | Player rights = PLAYER	
[4/21/23 09:48PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 09:52PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 09:52PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 09:53PM] 4bit used command ::kc | Player rights = PLAYER	
[4/21/23 09:55PM] 4bit used command ::home | Player rights = PLAYER	
[4/21/23 09:57PM] 4bit used command ::Voteboss | Player rights = PLAYER	
[4/21/23 09:57PM] 4bit used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 10:02PM] 4bit used command ::home | Player rights = PLAYER	
[4/21/23 10:03PM] 4bit used command ::veigar | Player rights = PLAYER	
[4/21/23 10:04PM] 4bit used command ::home | Player rights = PLAYER	
[4/21/23 10:14PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 10:15PM] 4bit used command ::dr | Player rights = PLAYER	
[4/21/23 10:17PM] 4bit used command ::teleport | Player rights = PLAYER	
[4/21/23 10:18PM] 4bit used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:19PM] 4bit used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:19PM] 4bit used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:19PM] 4bit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:19PM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:20PM] 4bit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:22PM] 4bit used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:23PM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:23PM] 4bit used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:27PM] 4bit used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:27PM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:28PM] 4bit used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:05AM] 4bit used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:05AM] 4bit used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:15AM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:15AM] 4bit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:15AM] 4bit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:15AM] 4bit used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:16AM] 4bit used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:17AM] 4bit used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:17AM] 4bit used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:17AM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:21AM] 4bit used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:26AM] 4bit used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:28AM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:29AM] 4bit used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:31AM] 4bit used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:32AM] 4bit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:33AM] 4bit used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34AM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34AM] 4bit used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:35AM] 4bit used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:36AM] 4bit used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:37AM] 4bit used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:38AM] 4bit used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:39AM] 4bit used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:39AM] 4bit used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:39AM] 4bit used command ::golden | Player rights = GRACEFUL_DONATOR	
