[4/19/23 07:03AM] Admiral used command ::TRAIN | Player rights = PLAYER	
[4/21/23 07:13AM] Admiral used command ::yellowevent | Player rights = PLAYER	
[4/21/23 07:13AM] Admiral used command ::home | Player rights = PLAYER	
[4/21/23 07:15AM] Admiral used command ::train | Player rights = PLAYER	
[4/21/23 07:48AM] Admiral used command ::teleport | Player rights = PLAYER	
[4/21/23 07:48AM] Admiral used command ::teleport | Player rights = PLAYER	
[4/21/23 07:49AM] Admiral used command ::home | Player rights = PLAYER	
[4/26/23 07:27AM] Admiral used command ::bank | Player rights = PLAYER	
[4/26/23 07:28AM] Admiral used command ::elo | Player rights = PLAYER	
[4/26/23 07:35AM] Admiral used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/26/23 07:38AM] Admiral used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/26/23 07:42AM] Admiral used command ::home | Player rights = GRACEFUL_DONATOR	
[4/26/23 07:43AM] Admiral used command ::slayer | Player rights = GRACEFUL_DONATOR	
