[4/16/23 11:00PM] Ainokea used command ::playuers | Player rights = PLAYER	
[4/16/23 11:00PM] Ainokea used command ::players | Player rights = PLAYER	
[4/16/23 11:00PM] Ainokea used command ::afk | Player rights = PLAYER	
[4/16/23 11:01PM] Ainokea used command ::shops | Player rights = PLAYER	
[4/16/23 11:01PM] Ainokea used command ::shops | Player rights = PLAYER	
[4/16/23 11:01PM] Ainokea used command ::sjops | Player rights = PLAYER	
[4/16/23 11:01PM] Ainokea used command ::shops | Player rights = PLAYER	
[4/17/23 08:33PM] Ainokea used command ::players | Player rights = PLAYER	
[4/18/23 03:14AM] Ainokea used command ::players | Player rights = PLAYER	
[4/18/23 03:14AM] Ainokea used command ::starter | Player rights = PLAYER	
[4/18/23 03:16AM] Ainokea used command ::ref walkchaos | Player rights = PLAYER	
[4/18/23 03:21AM] Ainokea used command ::starter | Player rights = PLAYER	
[4/18/23 03:21AM] Ainokea used command ::donate | Player rights = PLAYER	
[4/18/23 03:25AM] Ainokea used command ::starter | Player rights = PLAYER	
[4/18/23 03:26AM] Ainokea used command ::starter' | Player rights = PLAYER	
[4/18/23 03:26AM] Ainokea used command ::starter] | Player rights = PLAYER	
[4/18/23 03:30AM] Ainokea used command ::starter | Player rights = PLAYER	
[4/18/23 03:41AM] Ainokea used command ::veigar | Player rights = PLAYER	
[4/18/23 03:42AM] Ainokea used command ::ninetails | Player rights = PLAYER	
[4/18/23 04:10AM] Ainokea used command ::veigar | Player rights = PLAYER	
[4/18/23 04:38AM] Ainokea used command ::dropoff | Player rights = PLAYER	
[4/18/23 04:41AM] Ainokea used command ::veigar | Player rights = PLAYER	
[4/18/23 04:42AM] Ainokea used command ::ninetails | Player rights = PLAYER	
[4/18/23 04:43AM] Ainokea used command ::meruem | Player rights = PLAYER	
[4/18/23 04:44AM] Ainokea used command ::golden | Player rights = PLAYER	
[4/18/23 05:41AM] Ainokea used command ::veigar | Player rights = PLAYER	
[4/18/23 06:41AM] Ainokea used command ::veigar | Player rights = PLAYER	
[4/18/23 06:42AM] Ainokea used command ::ninetails | Player rights = PLAYER	
[4/18/23 06:43AM] Ainokea used command ::meruem | Player rights = PLAYER	
[4/18/23 06:44AM] Ainokea used command ::golden | Player rights = PLAYER	
[4/18/23 06:47AM] Ainokea used command ::afk | Player rights = PLAYER	
[4/18/23 05:42PM] Ainokea used command ::veigar | Player rights = PLAYER	
