[4/20/23 01:40AM] Big Daddy used command ::train | Player rights = PLAYER	
[4/20/23 01:41AM] Big Daddy used command ::players | Player rights = PLAYER	
[4/20/23 01:43AM] Big Daddy used command ::Ref | Player rights = PLAYER	
[4/20/23 01:49AM] Big Daddy used command ::veigar | Player rights = PLAYER	
[4/20/23 01:59AM] Big Daddy used command ::voteboss | Player rights = PLAYER	
[4/20/23 02:00AM] Big Daddy used command ::bank | Player rights = PLAYER	
[4/20/23 02:00AM] Big Daddy used command ::voteboss | Player rights = PLAYER	
[4/20/23 02:19AM] Big Daddy used command ::ninetails | Player rights = PLAYER	
[4/20/23 02:20AM] Big Daddy used command ::veigar | Player rights = PLAYER	
[4/20/23 02:21AM] Big Daddy used command ::ninetails | Player rights = PLAYER	
[4/20/23 02:50AM] Big Daddy used command :::Veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:50AM] Big Daddy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:58AM] Big Daddy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:50AM] Big Daddy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:02AM] Big Daddy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:23AM] Big Daddy used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:41AM] Big Daddy used command ::vboss | Player rights = GRACEFUL_DONATOR	
