[4/16/23 10:40AM] Bolachax used command ::bank | Player rights = PLAYER	
[4/16/23 10:42AM] Bolachax used command ::bank | Player rights = PLAYER	
[4/16/23 10:42AM] Bolachax used command ::Afk | Player rights = PLAYER	
[4/16/23 10:42AM] Bolachax used command ::home | Player rights = PLAYER	
[4/16/23 11:19AM] Bolachax used command ::Pos | Player rights = PLAYER	
[4/16/23 11:30AM] Bolachax used command ::reward 1 all | Player rights = PLAYER	
[4/16/23 02:23PM] Bolachax used command ::veigar | Player rights = PLAYER	
[4/16/23 02:24PM] Bolachax used command ::ninetails | Player rights = PLAYER	
[4/16/23 02:24PM] Bolachax used command :::golden | Player rights = PLAYER	
[4/16/23 02:24PM] Bolachax used command ::holden | Player rights = PLAYER	
[4/16/23 02:24PM] Bolachax used command ::golden | Player rights = PLAYER	
[4/16/23 02:25PM] Bolachax used command ::::Afk | Player rights = PLAYER	
[4/16/23 02:25PM] Bolachax used command ::afk | Player rights = PLAYER	
[4/17/23 10:53AM] Bolachax used command ::afk | Player rights = PLAYER	
[4/17/23 10:54AM] Bolachax used command ::home | Player rights = PLAYER	
[4/17/23 11:01AM] Bolachax used command ::afk | Player rights = PLAYER	
[4/17/23 12:02PM] Bolachax used command ::afk | Player rights = PLAYER	
[4/17/23 01:24PM] Bolachax used command ::ss | Player rights = PLAYER	
[4/17/23 01:24PM] Bolachax used command ::shops | Player rights = PLAYER	
[4/17/23 01:24PM] Bolachax used command ::home | Player rights = PLAYER	
[4/17/23 01:25PM] Bolachax used command ::Afk | Player rights = PLAYER	
[4/17/23 03:42PM] Bolachax used command ::ref | Player rights = PLAYER	
[4/17/23 03:42PM] Bolachax used command ::ref | Player rights = PLAYER	
[4/17/23 03:43PM] Bolachax used command ::Afk | Player rights = PLAYER	
[4/18/23 01:47PM] Bolachax used command ::Afk | Player rights = PLAYER	
[4/18/23 05:34PM] Bolachax used command ::afk | Player rights = PLAYER	
[4/20/23 07:42AM] Bolachax used command ::Afk | Player rights = PLAYER	
[4/20/23 08:31AM] Bolachax used command ::Afk | Player rights = PLAYER	
[4/20/23 02:29PM] Bolachax used command ::home | Player rights = PLAYER	
[4/20/23 02:30PM] Bolachax used command ::afk | Player rights = PLAYER	
[4/20/23 02:30PM] Bolachax used command ::home | Player rights = PLAYER	
[4/20/23 02:30PM] Bolachax used command ::bank | Player rights = PLAYER	
