[4/15/23 07:41PM] Ctg804 used command ::train | Player rights = PLAYER	
[4/15/23 07:47PM] Ctg804 used command ::vote | Player rights = PLAYER	
[4/15/23 07:49PM] Ctg804 used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 07:49PM] Ctg804 used command ::voteboss | Player rights = PLAYER	
[4/15/23 07:53PM] Ctg804 used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:59PM] Ctg804 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:00PM] Ctg804 used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:01PM] Ctg804 used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:58PM] Ctg804 used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:58PM] Ctg804 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:02PM] Ctg804 used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:04PM] Ctg804 used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:19PM] Ctg804 used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:28PM] Ctg804 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30PM] Ctg804 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31PM] Ctg804 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58PM] Ctg804 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Ctg804 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Ctg804 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Ctg804 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Ctg804 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:32PM] Ctg804 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:53AM] Ctg804 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:06AM] Ctg804 used command ::discord | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:11AM] Ctg804 used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:16AM] Ctg804 used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:20AM] Ctg804 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23AM] Ctg804 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23AM] Ctg804 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:24AM] Ctg804 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:25AM] Ctg804 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:29AM] Ctg804 used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:35AM] Ctg804 used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:36AM] Ctg804 used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:37AM] Ctg804 used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:05AM] Ctg804 used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Ctg804 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Ctg804 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] Ctg804 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:42AM] Ctg804 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:44AM] Ctg804 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Ctg804 used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Ctg804 used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Ctg804 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Ctg804 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:51AM] Ctg804 used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 09:53AM] Ctg804 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:54AM] Ctg804 used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] Ctg804 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:26AM] Ctg804 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:28AM] Ctg804 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 10:28AM] Ctg804 used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] Ctg804 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:07AM] Ctg804 used command ::elo | Player rights = CLERIC_DONATOR	
[4/16/23 11:07AM] Ctg804 used command ::elo | Player rights = CLERIC_DONATOR	
[4/16/23 11:07AM] Ctg804 used command ::elo | Player rights = CLERIC_DONATOR	
[4/16/23 11:08AM] Ctg804 used command ::elo | Player rights = CLERIC_DONATOR	
[4/16/23 11:14AM] Ctg804 used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 11:17AM] Ctg804 used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] Ctg804 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Ctg804 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Ctg804 used command ::meruem | Player rights = CLERIC_DONATOR	
