[4/19/23 11:48AM] Dajjal used command ::refer wr3ckedyou | Player rights = PLAYER	
[4/19/23 11:55AM] Dajjal used command ::donate | Player rights = PLAYER	
[4/19/23 11:59AM] Dajjal used command ::donate | Player rights = PLAYER	
[4/19/23 12:14PM] Dajjal used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:15PM] Dajjal used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Dajjal used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:16PM] Dajjal used command ::meruem | Player rights = PLAYER	
[4/19/23 12:16PM] Dajjal used command ::ninetales | Player rights = PLAYER	
[4/19/23 12:16PM] Dajjal used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Dajjal used command ::::meruem | Player rights = PLAYER	
[4/19/23 12:17PM] Dajjal used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] Dajjal used command ::golden | Player rights = PLAYER	
[4/19/23 12:18PM] Dajjal used command ::golden | Player rights = PLAYER	
[4/19/23 12:43PM] Dajjal used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Dajjal used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:53PM] Dajjal used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:57PM] Dajjal used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:58PM] Dajjal used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:20AM] Dajjal used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:21AM] Dajjal used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:23AM] Dajjal used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:34AM] Dajjal used command ::voteboss | Player rights = GRACEFUL_DONATOR	
