[4/15/23 03:32AM] Dfk used command ::referall | Player rights = PLAYER	
[4/15/23 03:33AM] Dfk used command ::Refer | Player rights = PLAYER	
[4/15/23 03:36AM] Dfk used command ::Vote | Player rights = PLAYER	
[4/15/23 03:37AM] Dfk used command ::Reward 1 all | Player rights = PLAYER	
[4/15/23 03:38AM] Dfk used command ::home | Player rights = PLAYER	
[4/15/23 03:48AM] Dfk used command ::Donate | Player rights = PLAYER	
[4/15/23 03:53AM] Dfk used command ::kc | Player rights = PLAYER	
[4/15/23 03:53AM] Dfk used command ::killcount | Player rights = PLAYER	
[4/15/23 03:53AM] Dfk used command ::kc | Player rights = PLAYER	
[4/15/23 03:53AM] Dfk used command ::kcs | Player rights = PLAYER	
[4/15/23 03:53AM] Dfk used command ::kills | Player rights = PLAYER	
[4/15/23 03:54AM] Dfk used command ::kills | Player rights = PLAYER	
[4/15/23 03:55AM] Dfk used command ::kills | Player rights = PLAYER	
[4/15/23 03:55AM] Dfk used command ::kills | Player rights = PLAYER	
[4/15/23 03:58AM] Dfk used command ::kills | Player rights = PLAYER	
[4/15/23 03:59AM] Dfk used command ::pos | Player rights = PLAYER	
[4/15/23 04:01AM] Dfk used command ::Kills | Player rights = PLAYER	
[4/15/23 04:01AM] Dfk used command ::Home | Player rights = PLAYER	
[4/15/23 04:07AM] Dfk used command ::kills | Player rights = PLAYER	
[4/15/23 04:12AM] Dfk used command ::kills | Player rights = PLAYER	
[4/15/23 04:12AM] Dfk used command ::totem | Player rights = PLAYER	
[4/15/23 04:14AM] Dfk used command ::home | Player rights = PLAYER	
[4/15/23 04:21AM] Dfk used command ::kills | Player rights = PLAYER	
[4/15/23 04:24AM] Dfk used command ::kills | Player rights = PLAYER	
[4/15/23 04:25AM] Dfk used command ::kills | Player rights = PLAYER	
[4/15/23 04:33AM] Dfk used command ::meruem | Player rights = PLAYER	
[4/15/23 04:39AM] Dfk used command ::meruem | Player rights = PLAYER	
[4/15/23 02:31PM] Dfk used command ::store | Player rights = PLAYER	
[4/15/23 02:35PM] Dfk used command ::Collection | Player rights = PLAYER	
[4/15/23 02:38PM] Dfk used command ::totem | Player rights = PLAYER	
[4/15/23 02:40PM] Dfk used command ::collection | Player rights = PLAYER	
[4/15/23 02:42PM] Dfk used command ::Collection | Player rights = PLAYER	
[4/15/23 02:42PM] Dfk used command ::collection | Player rights = PLAYER	
