[4/18/23 06:40PM] Dwightshrute used command ::train | Player rights = PLAYER	
[4/18/23 06:46PM] Dwightshrute used command ::ref | Player rights = PLAYER	
[4/18/23 06:49PM] Dwightshrute used command ::train | Player rights = PLAYER	
[4/18/23 06:58PM] Dwightshrute used command ::vote | Player rights = PLAYER	
[4/18/23 06:59PM] Dwightshrute used command ::::reward 1 all | Player rights = PLAYER	
[4/18/23 06:59PM] Dwightshrute used command ::reward 1 | Player rights = PLAYER	
[4/18/23 06:59PM] Dwightshrute used command ::reward1 | Player rights = PLAYER	
[4/18/23 06:59PM] Dwightshrute used command ::reward1 | Player rights = PLAYER	
[4/18/23 06:59PM] Dwightshrute used command ::voteboss | Player rights = PLAYER	
[4/18/23 07:04PM] Dwightshrute used command ::home | Player rights = PLAYER	
[4/18/23 07:15PM] Dwightshrute used command ::train | Player rights = PLAYER	
[4/18/23 07:16PM] Dwightshrute used command ::train | Player rights = PLAYER	
[4/18/23 07:18PM] Dwightshrute used command ::train | Player rights = PLAYER	
[4/18/23 07:21PM] Dwightshrute used command ::train | Player rights = PLAYER	
[4/18/23 07:23PM] Dwightshrute used command ::train | Player rights = PLAYER	
[4/18/23 07:33PM] Dwightshrute used command ::zones | Player rights = PLAYER	
[4/18/23 07:40PM] Dwightshrute used command ::Shop | Player rights = PLAYER	
[4/18/23 07:41PM] Dwightshrute used command ::viegar | Player rights = PLAYER	
[4/18/23 07:41PM] Dwightshrute used command ::viegar | Player rights = PLAYER	
[4/18/23 07:41PM] Dwightshrute used command ::veigar | Player rights = PLAYER	
[4/18/23 07:42PM] Dwightshrute used command ::store | Player rights = PLAYER	
[4/18/23 07:43PM] Dwightshrute used command ::ninetails | Player rights = PLAYER	
[4/18/23 07:44PM] Dwightshrute used command ::golden | Player rights = PLAYER	
[4/18/23 07:46PM] Dwightshrute used command ::home | Player rights = PLAYER	
[4/18/23 07:49PM] Dwightshrute used command ::dr | Player rights = PLAYER	
[4/18/23 08:07PM] Dwightshrute used command ::npckills | Player rights = PLAYER	
[4/19/23 11:41AM] Dwightshrute used command ::voboss | Player rights = PLAYER	
[4/19/23 11:41AM] Dwightshrute used command ::vboss | Player rights = PLAYER	
[4/19/23 11:43AM] Dwightshrute used command ::viegar | Player rights = PLAYER	
[4/19/23 11:43AM] Dwightshrute used command ::viegar | Player rights = PLAYER	
