[4/23/23 10:24AM] Dx8 used command ::veigar | Player rights = PLAYER	
[4/23/23 10:55AM] Dx8 used command ::veigar | Player rights = PLAYER	
[4/24/23 06:01AM] Dx8 used command ::veigar | Player rights = PLAYER	
[4/24/23 06:16AM] Dx8 used command ::invent | Player rights = PLAYER	
[4/24/23 06:16AM] Dx8 used command ::invention | Player rights = PLAYER	
[4/24/23 06:31AM] Dx8 used command ::veigar | Player rights = PLAYER	
[4/24/23 06:39AM] Dx8 used command ::voteboss | Player rights = PLAYER	
[4/24/23 06:43AM] Dx8 used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:01AM] Dx8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:22AM] Dx8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:28AM] Dx8 used command ::ref noble | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:32AM] Dx8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 07:33AM] Dx8 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:01PM] Dx8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:49PM] Dx8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:51PM] Dx8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:54PM] Dx8 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:56PM] Dx8 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:01PM] Dx8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:01AM] Dx8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:10AM] Dx8 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:31AM] Dx8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 08:31AM] Dx8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 08:33AM] Dx8 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/25/23 09:01AM] Dx8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 09:32AM] Dx8 used command ::veigr | Player rights = GRACEFUL_DONATOR	
[4/25/23 09:32AM] Dx8 used command ::veigar | Player rights = GRACEFUL_DONATOR	
