[4/17/23 10:49AM] Elcf used command ::ref fpr merk | Player rights = PLAYER	
[4/17/23 10:49AM] Elcf used command ::Ref | Player rights = PLAYER	
[4/17/23 10:49AM] Elcf used command ::zone | Player rights = PLAYER	
[4/17/23 11:02AM] Elcf used command ::veigar | Player rights = PLAYER	
[4/17/23 11:03AM] Elcf used command ::meruem | Player rights = PLAYER	
[4/17/23 11:04AM] Elcf used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:05AM] Elcf used command ::golden | Player rights = PLAYER	
[4/17/23 11:09AM] Elcf used command ::mereum | Player rights = PLAYER	
[4/17/23 11:09AM] Elcf used command ::mereum | Player rights = PLAYER	
[4/17/23 11:09AM] Elcf used command ::meruem | Player rights = PLAYER	
[4/17/23 11:10AM] Elcf used command ::meruem | Player rights = PLAYER	
[4/17/23 11:12AM] Elcf used command ::Vote | Player rights = PLAYER	
[4/17/23 11:14AM] Elcf used command ::reward 1 | Player rights = PLAYER	
[4/17/23 11:14AM] Elcf used command ::Claimvotes | Player rights = PLAYER	
[4/17/23 11:22AM] Elcf used command ::bank | Player rights = PLAYER	
[4/17/23 11:32AM] Elcf used command ::Veigar | Player rights = PLAYER	
[4/17/23 11:33AM] Elcf used command ::ninetails | Player rights = PLAYER	
[4/17/23 11:34AM] Elcf used command ::store | Player rights = PLAYER	
[4/17/23 11:53AM] Elcf used command ::meruem | Player rights = PLAYER	
[4/21/23 12:42PM] Elcf used command ::store | Player rights = PLAYER	
[4/21/23 01:02PM] Elcf used command ::veigar | Player rights = PLAYER	
[4/21/23 01:05PM] Elcf used command ::voteboss | Player rights = PLAYER	
[4/21/23 01:14PM] Elcf used command ::bank | Player rights = PLAYER	
[4/21/23 01:15PM] Elcf used command ::pos | Player rights = PLAYER	
[4/21/23 01:15PM] Elcf used command ::home | Player rights = PLAYER	
[4/21/23 01:15PM] Elcf used command ::Dropoff | Player rights = PLAYER	
[4/21/23 01:21PM] Elcf used command ::gamble | Player rights = PLAYER	
[4/21/23 01:22PM] Elcf used command ::pos | Player rights = PLAYER	
[4/21/23 01:32PM] Elcf used command ::veigar | Player rights = PLAYER	
[4/21/23 01:34PM] Elcf used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:00PM] Elcf used command ::Vote | Player rights = PLAYER	
[4/21/23 02:02PM] Elcf used command ::reward 1 | Player rights = PLAYER	
[4/21/23 02:02PM] Elcf used command ::claimvotes | Player rights = PLAYER	
[4/21/23 02:02PM] Elcf used command ::Veigar | Player rights = PLAYER	
[4/21/23 02:09PM] Elcf used command ::Store | Player rights = PLAYER	
[4/21/23 02:11PM] Elcf used command ::claim | Player rights = PLAYER	
[4/21/23 02:11PM] Elcf used command ::claim | Player rights = PLAYER	
[4/22/23 11:32AM] Elcf used command ::veigaar | Player rights = PLAYER	
[4/22/23 11:32AM] Elcf used command ::Veigar | Player rights = PLAYER	
[4/22/23 11:34AM] Elcf used command ::ninetails | Player rights = PLAYER	
[4/22/23 11:54AM] Elcf used command ::voteboss | Player rights = PLAYER	
[4/22/23 11:54AM] Elcf used command ::Vote | Player rights = PLAYER	
[4/22/23 11:55AM] Elcf used command ::claimvotes | Player rights = PLAYER	
[4/22/23 11:55AM] Elcf used command ::Reward 1 | Player rights = PLAYER	
[4/22/23 12:02PM] Elcf used command ::Veigar | Player rights = PLAYER	
[4/22/23 12:07PM] Elcf used command ::Veigar | Player rights = PLAYER	
[4/22/23 12:09PM] Elcf used command ::ninetails | Player rights = PLAYER	
[4/22/23 12:11PM] Elcf used command ::meruem | Player rights = PLAYER	
[4/22/23 12:13PM] Elcf used command ::golden | Player rights = PLAYER	
[4/22/23 12:32PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:02PM] Elcf used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:02PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:28PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:33PM] Elcf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34PM] Elcf used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:35PM] Elcf used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:35PM] Elcf used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:53AM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:55AM] Elcf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:55AM] Elcf used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:55AM] Elcf used command ::yell what happned to globals? | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] Elcf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] Elcf used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] Elcf used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] Elcf used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] Elcf used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:03PM] Elcf used command ::fps | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:03PM] Elcf used command ::hide | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:03PM] Elcf used command ::hideall | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:05PM] Elcf used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:05PM] Elcf used command ::hideall | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:28PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32PM] Elcf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:33PM] Elcf used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:34PM] Elcf used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:35PM] Elcf used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:53PM] Elcf used command ::elo] | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:53PM] Elcf used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:53PM] Elcf used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:53PM] Elcf used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:53PM] Elcf used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:54PM] Elcf used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:57PM] Elcf used command ::end | Player rights = GRACEFUL_DONATOR	
[4/23/23 01:01PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:00AM] Elcf used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:03AM] Elcf used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:11AM] Elcf used command ::Yell whats price per $ on innames? | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:11AM] Elcf used command ::Yell average for 100? | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:23AM] Elcf used command ::yell wheres best place to get transfer crystals? | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:30AM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:32AM] Elcf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:33AM] Elcf used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:39AM] Elcf used command ::ref wr3ckedyou | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:46AM] Elcf used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 10:52AM] Elcf used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/24/23 11:30AM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 11:32AM] Elcf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 12:01PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 12:10PM] Elcf used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 12:10PM] Elcf used command ::Bank | Player rights = GRACEFUL_DONATOR	
[4/24/23 12:28PM] Elcf used command ::Yell 3 mins till globals | Player rights = GRACEFUL_DONATOR	
[4/24/23 12:30PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 12:32PM] Elcf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 12:33PM] Elcf used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 12:34PM] Elcf used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:01PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:01PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:31PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:32PM] Elcf used command ::ni9netails | Player rights = GRACEFUL_DONATOR	
[4/24/23 01:32PM] Elcf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:01PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:03PM] Elcf used command ::Yell someone lend me 3x3 for 1 hour ill pay 5m | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:29PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:31PM] Elcf used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:32PM] Elcf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:34PM] Elcf used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:34PM] Elcf used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:47PM] Elcf used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:48PM] Elcf used command ::Yell savage you take my offer from before? | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:48PM] Elcf used command ::home | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:48PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:51PM] Elcf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:54PM] Elcf used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:56PM] Elcf used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:01PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:02PM] Elcf used command ::Slayer | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:31PM] Elcf used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:32PM] Elcf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:34PM] Elcf used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:34PM] Elcf used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:13PM] Elcf used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:31PM] Elcf used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:32PM] Elcf used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:33PM] Elcf used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/25/23 01:34PM] Elcf used command ::golden | Player rights = GRACEFUL_DONATOR	
