[4/19/23 10:02AM] Isvares used command ::refer | Player rights = PLAYER	
[4/19/23 10:14AM] Isvares used command ::veigar | Player rights = PLAYER	
[4/19/23 10:27AM] Isvares used command ::pos | Player rights = PLAYER	
[4/19/23 10:36AM] Isvares used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 10:43AM] Isvares used command ::Veigar | Player rights = PLAYER	
[4/19/23 11:12AM] Isvares used command ::golden | Player rights = PLAYER	
[4/19/23 11:12AM] Isvares used command ::ninetal\ | Player rights = PLAYER	
[4/19/23 11:12AM] Isvares used command ::ninetail | Player rights = PLAYER	
[4/19/23 11:12AM] Isvares used command ::ninetail | Player rights = PLAYER	
[4/19/23 11:12AM] Isvares used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:13AM] Isvares used command ::merum | Player rights = PLAYER	
[4/19/23 11:13AM] Isvares used command ::meruem | Player rights = PLAYER	
[4/19/23 11:14AM] Isvares used command ::veigar | Player rights = PLAYER	
[4/19/23 11:16AM] Isvares used command ::voteboss | Player rights = PLAYER	
[4/19/23 11:17AM] Isvares used command ::vote | Player rights = PLAYER	
[4/19/23 11:20AM] Isvares used command ::reward 1 | Player rights = PLAYER	
[4/19/23 11:20AM] Isvares used command ::reward 1 | Player rights = PLAYER	
[4/19/23 11:20AM] Isvares used command ::reward 1 | Player rights = PLAYER	
[4/19/23 11:23AM] Isvares used command ::home | Player rights = PLAYER	
