[4/19/23 10:40AM] Itachi used command ::afk | Player rights = PLAYER	
[4/19/23 10:40AM] Itachi used command ::afk | Player rights = PLAYER	
[4/19/23 10:41AM] Itachi used command ::afk | Player rights = PLAYER	
[4/19/23 10:42AM] Itachi used command ::home | Player rights = PLAYER	
[4/19/23 10:42AM] Itachi used command ::afk | Player rights = PLAYER	
[4/19/23 02:04PM] Itachi used command ::home | Player rights = PLAYER	
[4/19/23 02:05PM] Itachi used command ::home | Player rights = PLAYER	
[4/19/23 02:05PM] Itachi used command ::afk | Player rights = PLAYER	
[4/19/23 07:39PM] Itachi used command ::afk | Player rights = PLAYER	
[4/19/23 09:29PM] Itachi used command ::afk | Player rights = PLAYER	
[4/20/23 06:43AM] Itachi used command ::afk | Player rights = PLAYER	
[4/20/23 07:39AM] Itachi used command ::homr | Player rights = PLAYER	
[4/20/23 07:39AM] Itachi used command ::home | Player rights = PLAYER	
[4/20/23 07:39AM] Itachi used command ::afk | Player rights = PLAYER	
[4/20/23 07:41AM] Itachi used command ::dr | Player rights = PLAYER	
[4/20/23 10:02AM] Itachi used command ::afk | Player rights = PLAYER	
[4/20/23 07:26PM] Itachi used command ::afk | Player rights = PLAYER	
[4/20/23 09:06PM] Itachi used command ::afk | Player rights = PLAYER	
[4/20/23 09:28PM] Itachi used command ::vot | Player rights = PLAYER	
[4/20/23 09:28PM] Itachi used command ::vote | Player rights = PLAYER	
[4/20/23 09:29PM] Itachi used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 09:29PM] Itachi used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 01:50AM] Itachi used command ::afk | Player rights = PLAYER	
[4/21/23 05:07AM] Itachi used command ::pos | Player rights = PLAYER	
[4/21/23 10:48AM] Itachi used command ::afk | Player rights = PLAYER	
[4/21/23 01:33PM] Itachi used command ::Afk | Player rights = PLAYER	
[4/22/23 12:06PM] Itachi used command ::afk | Player rights = PLAYER	
[4/23/23 09:24AM] Itachi used command ::afk | Player rights = PLAYER	
[4/23/23 09:47AM] Itachi used command ::afk | Player rights = PLAYER	
[4/23/23 09:59AM] Itachi used command ::afk | Player rights = PLAYER	
[4/23/23 12:01PM] Itachi used command ::afk | Player rights = PLAYER	
[4/23/23 12:32PM] Itachi used command ::afk | Player rights = PLAYER	
