[4/17/23 11:00PM] Just Kirbs used command ::ref fpk merk | Player rights = PLAYER	
[4/17/23 11:05PM] Just Kirbs used command ::home | Player rights = PLAYER	
[4/17/23 11:11PM] Just Kirbs used command ::Veigar | Player rights = PLAYER	
[4/17/23 11:12PM] Just Kirbs used command ::Home | Player rights = PLAYER	
[4/17/23 11:12PM] Just Kirbs used command ::Veigar | Player rights = PLAYER	
[4/17/23 11:13PM] Just Kirbs used command ::Home | Player rights = PLAYER	
[4/17/23 11:23PM] Just Kirbs used command ::vote | Player rights = PLAYER	
[4/17/23 11:25PM] Just Kirbs used command ::reward 1 | Player rights = PLAYER	
[4/17/23 11:25PM] Just Kirbs used command ::Reward 1 all | Player rights = PLAYER	
[4/17/23 11:41PM] Just Kirbs used command ::Veigar | Player rights = PLAYER	
[4/17/23 11:42PM] Just Kirbs used command ::Home | Player rights = PLAYER	
[4/17/23 11:58PM] Just Kirbs used command ::totem | Player rights = PLAYER	
[4/18/23 12:11AM] Just Kirbs used command ::Veigar | Player rights = PLAYER	
[4/18/23 12:40AM] Just Kirbs used command ::veigar | Player rights = PLAYER	
[4/18/23 12:42AM] Just Kirbs used command ::ninetails | Player rights = PLAYER	
[4/18/23 12:42AM] Just Kirbs used command ::meruem | Player rights = PLAYER	
[4/18/23 12:45AM] Just Kirbs used command ::voteboss | Player rights = PLAYER	
[4/18/23 12:51AM] Just Kirbs used command ::Home | Player rights = PLAYER	
[4/18/23 01:02AM] Just Kirbs used command ::Home | Player rights = PLAYER	
[4/18/23 01:11AM] Just Kirbs used command ::veigar | Player rights = PLAYER	
[4/18/23 01:14AM] Just Kirbs used command ::Yell can i do this now o.0 | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:14AM] Just Kirbs used command ::yell wooh | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:18AM] Just Kirbs used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41AM] Just Kirbs used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41AM] Just Kirbs used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:42AM] Just Kirbs used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:42AM] Just Kirbs used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:42AM] Just Kirbs used command ::golden | Player rights = GRACEFUL_DONATOR	
