[4/15/23 05:50PM] K0000 used command ::bank | Player rights = PLAYER	
[4/15/23 05:50PM] K0000 used command ::bank | Player rights = PLAYER	
[4/15/23 05:54PM] K0000 used command ::Ref walkchaos | Player rights = PLAYER	
[4/15/23 05:58PM] K0000 used command ::veigar | Player rights = PLAYER	
[4/15/23 06:29PM] K0000 used command ::veigar | Player rights = PLAYER	
[4/15/23 06:30PM] K0000 used command ::ninetails' | Player rights = PLAYER	
[4/15/23 06:30PM] K0000 used command ::ninetails | Player rights = PLAYER	
[4/15/23 06:31PM] K0000 used command ::mureum | Player rights = PLAYER	
[4/15/23 06:31PM] K0000 used command ::meruem | Player rights = PLAYER	
[4/15/23 06:43PM] K0000 used command ::doanrw | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:43PM] K0000 used command ::store | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:59PM] K0000 used command ::veiger | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:59PM] K0000 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:21PM] K0000 used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:29PM] K0000 used command ::veiger | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:29PM] K0000 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:30PM] K0000 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:31PM] K0000 used command ::store | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:33PM] K0000 used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:33PM] K0000 used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:33PM] K0000 used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:34PM] K0000 used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:47PM] K0000 used command ::vote | Player rights = CLERIC_DONATOR	
[4/15/23 07:48PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 07:48PM] K0000 used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/15/23 07:48PM] K0000 used command ::claim vote | Player rights = CLERIC_DONATOR	
[4/15/23 07:48PM] K0000 used command ::voted | Player rights = CLERIC_DONATOR	
[4/15/23 07:49PM] K0000 used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/15/23 07:49PM] K0000 used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/15/23 07:49PM] K0000 used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 07:52PM] K0000 used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 07:53PM] K0000 used command ::Dz | Player rights = CLERIC_DONATOR	
[4/15/23 07:53PM] K0000 used command ::Dz | Player rights = CLERIC_DONATOR	
[4/15/23 07:53PM] K0000 used command ::dzone | Player rights = CLERIC_DONATOR	
[4/15/23 07:55PM] K0000 used command ::Sotre | Player rights = CLERIC_DONATOR	
[4/15/23 07:55PM] K0000 used command ::store | Player rights = CLERIC_DONATOR	
[4/15/23 07:58PM] K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 08:00PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 08:00PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 08:01PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 08:01PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 08:01PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 08:01PM] K0000 used command ::Store | Player rights = CLERIC_DONATOR	
[4/15/23 08:02PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 08:02PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 08:02PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 08:03PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 08:04PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 08:08PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 08:09PM] K0000 used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 08:09PM] K0000 used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 08:28PM] K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 08:30PM] K0000 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 08:32PM] K0000 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 08:33PM] K0000 used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 08:48PM] K0000 used command ::items | Player rights = CLERIC_DONATOR	
[4/15/23 08:48PM] K0000 used command ::item | Player rights = CLERIC_DONATOR	
[4/15/23 08:58PM] K0000 used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 08:58PM] K0000 used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 08:59PM] K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 09:03PM] K0000 used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 09:28PM] K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 09:30PM] K0000 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 09:31PM] K0000 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 09:31PM] K0000 used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 06:23AM] K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:27AM] K0000 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] K0000 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:32AM] K0000 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:23AM] K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:23AM] K0000 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] K0000 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] K0000 used command ::Dps | Player rights = CLERIC_DONATOR	
[4/16/23 07:29AM] K0000 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:54AM] K0000 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:48AM] K0000 used command ::box | Player rights = CLERIC_DONATOR	
