[4/17/23 12:50AM] Kensas used command ::ref fpk merk | Player rights = PLAYER	
[4/17/23 01:09AM] Kensas used command ::veiger | Player rights = PLAYER	
[4/17/23 01:09AM] Kensas used command ::veigar | Player rights = PLAYER	
[4/17/23 01:12AM] Kensas used command ::veigar | Player rights = PLAYER	
[4/17/23 01:40AM] Kensas used command ::veigar | Player rights = PLAYER	
[4/17/23 01:40AM] Kensas used command ::ninetails | Player rights = PLAYER	
[4/17/23 01:41AM] Kensas used command ::meruem | Player rights = PLAYER	
[4/17/23 01:42AM] Kensas used command ::veigar | Player rights = PLAYER	
[4/17/23 01:43AM] Kensas used command ::dopamine | Player rights = PLAYER	
[4/17/23 01:43AM] Kensas used command ::veigar | Player rights = PLAYER	
[4/17/23 01:43AM] Kensas used command ::meruem | Player rights = PLAYER	
[4/17/23 01:43AM] Kensas used command ::ninetails | Player rights = PLAYER	
[4/17/23 01:43AM] Kensas used command ::veigar | Player rights = PLAYER	
[4/17/23 01:50AM] Kensas used command ::ref ents | Player rights = PLAYER	
[4/17/23 02:01AM] Kensas used command ::vote | Player rights = PLAYER	
[4/17/23 02:02AM] Kensas used command ::claimvote | Player rights = PLAYER	
[4/17/23 02:02AM] Kensas used command ::claimvote | Player rights = PLAYER	
[4/17/23 02:02AM] Kensas used command ::voted | Player rights = PLAYER	
[4/17/23 02:03AM] Kensas used command ::claimvote | Player rights = PLAYER	
[4/17/23 02:03AM] Kensas used command ::reward 1 | Player rights = PLAYER	
[4/17/23 02:03AM] Kensas used command ::reward 1 | Player rights = PLAYER	
[4/17/23 02:09AM] Kensas used command ::veigar | Player rights = PLAYER	
[4/17/23 02:13AM] Kensas used command ::giveall oc | Player rights = PLAYER	
[4/17/23 02:39AM] Kensas used command ::veigar | Player rights = PLAYER	
[4/17/23 02:42AM] Kensas used command ::ninetails. | Player rights = PLAYER	
[4/17/23 02:42AM] Kensas used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:01AM] Kensas used command ::home | Player rights = PLAYER	
[4/17/23 03:09AM] Kensas used command ::veigar | Player rights = PLAYER	
[4/17/23 03:11AM] Kensas used command ::ninetails | Player rights = PLAYER	
[4/17/23 03:39AM] Kensas used command ::veigar | Player rights = GRACEFUL_DONATOR	
