[4/16/23 01:54AM] Kriipz used command ::ref | Player rights = PLAYER	
[4/16/23 01:57AM] Kriipz used command ::train | Player rights = PLAYER	
[4/16/23 02:07AM] Kriipz used command ::vote | Player rights = PLAYER	
[4/16/23 02:09AM] Kriipz used command ::reward 1 | Player rights = PLAYER	
[4/16/23 02:09AM] Kriipz used command ::reward 1 | Player rights = PLAYER	
[4/16/23 02:12AM] Kriipz used command ::pos | Player rights = PLAYER	
[4/16/23 02:23AM] Kriipz used command ::veigar | Player rights = PLAYER	
[4/16/23 02:25AM] Kriipz used command ::ninetails | Player rights = PLAYER	
[4/16/23 02:26AM] Kriipz used command ::golden | Player rights = PLAYER	
[4/16/23 02:38AM] Kriipz used command ::upgrade | Player rights = PLAYER	
[4/16/23 02:40AM] Kriipz used command ::tasks | Player rights = PLAYER	
[4/16/23 02:54AM] Kriipz used command ::veigar | Player rights = PLAYER	
[4/16/23 02:59AM] Kriipz used command ::collection | Player rights = PLAYER	
[4/16/23 02:59AM] Kriipz used command ::totem | Player rights = PLAYER	
[4/16/23 03:29AM] Kriipz used command ::voteboss | Player rights = PLAYER	
[4/16/23 04:59AM] Kriipz used command ::viegar | Player rights = PLAYER	
[4/16/23 04:59AM] Kriipz used command ::veigar | Player rights = PLAYER	
[4/16/23 05:01AM] Kriipz used command ::maxhit | Player rights = PLAYER	
[4/16/23 05:01AM] Kriipz used command ::maxhit | Player rights = PLAYER	
[4/16/23 05:02AM] Kriipz used command ::totem | Player rights = PLAYER	
[4/16/23 05:54AM] Kriipz used command ::veigar | Player rights = PLAYER	
[4/16/23 06:00AM] Kriipz used command ::pos | Player rights = PLAYER	
[4/16/23 06:06AM] Kriipz used command ::maxhit | Player rights = PLAYER	
[4/16/23 06:23AM] Kriipz used command ::veigar | Player rights = PLAYER	
[4/16/23 06:28AM] Kriipz used command ::ninetails | Player rights = PLAYER	
[4/16/23 06:29AM] Kriipz used command ::meruem | Player rights = PLAYER	
[4/16/23 06:32AM] Kriipz used command ::voteboss | Player rights = PLAYER	
[4/16/23 06:53AM] Kriipz used command ::veigar | Player rights = PLAYER	
[4/16/23 07:23AM] Kriipz used command ::veigar | Player rights = PLAYER	
[4/16/23 07:23AM] Kriipz used command ::ninetails | Player rights = PLAYER	
[4/16/23 07:24AM] Kriipz used command ::meruem | Player rights = PLAYER	
[4/16/23 07:29AM] Kriipz used command ::voteboss | Player rights = PLAYER	
[4/16/23 07:33AM] Kriipz used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53AM] Kriipz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:58AM] Kriipz used command ::totem::maxhit | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:58AM] Kriipz used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:59AM] Kriipz used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:00AM] Kriipz used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:05AM] Kriipz used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:34AM] Kriipz used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:36AM] Kriipz used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:46AM] Kriipz used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Kriipz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Kriipz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Kriipz used command ::meruem | Player rights = GRACEFUL_DONATOR	
