[4/16/23 06:38AM] Lano used command ::zones | Player rights = DEVELOPER	
[4/16/23 06:38AM] Lano used command ::empty | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::find owner;s | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::find owner's | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 22240 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 22239 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 22238 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 22237 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 22236 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 22235 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 22234 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 22233 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 22232 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 22231 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 22230 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 22229 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 6640 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 8832 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::item 15834 | Player rights = DEVELOPER	
[4/16/23 06:39AM] Lano used command ::random | Player rights = DEVELOPER	
[4/16/23 06:40AM] Lano used command ::item 8788 3 | Player rights = DEVELOPER	
[4/16/23 06:40AM] Lano used command ::bank | Player rights = DEVELOPER	
[4/16/23 06:40AM] Lano used command ::item 14882 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22214 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22215 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22216 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22217 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22218 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22219 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22220 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22221 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22222 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22223 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22224 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22225 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 22226 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::empty | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 2736 500 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 15003 50 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 15002 50 | Player rights = DEVELOPER	
[4/16/23 06:41AM] Lano used command ::item 15004 50 | Player rights = DEVELOPER	
[4/16/23 06:42AM] Lano used command ::item 20489 50 | Player rights = DEVELOPER	
[4/16/23 06:42AM] Lano used command ::item 20491 50 | Player rights = DEVELOPER	
[4/16/23 06:42AM] Lano used command ::item 20490 50 | Player rights = DEVELOPER	
[4/16/23 06:42AM] Lano used command ::item 23059  | Player rights = DEVELOPER	
[4/16/23 06:42AM] Lano used command ::bank | Player rights = DEVELOPER	
[4/16/23 06:42AM] Lano used command ::bank | Player rights = DEVELOPER	
[4/16/23 06:46AM] Lano used command ::bank | Player rights = DEVELOPER	
[4/17/23 02:23AM] Lano used command ::hp | Player rights = DEVELOPER	
[4/17/23 02:23AM] Lano used command ::pray | Player rights = DEVELOPER	
[4/17/23 02:24AM] Lano used command ::max | Player rights = DEVELOPER	
[4/17/23 02:24AM] Lano used command ::bones | Player rights = DEVELOPER	
[4/17/23 02:24AM] Lano used command ::spawn bones | Player rights = DEVELOPER	
[4/17/23 02:24AM] Lano used command ::item 12345 | Player rights = DEVELOPER	
[4/17/23 02:24AM] Lano used command ::bank | Player rights = DEVELOPER	
[4/17/23 02:24AM] Lano used command ::maxaccount | Player rights = DEVELOPER	
[4/17/23 02:24AM] Lano used command ::maxall | Player rights = DEVELOPER	
[4/17/23 02:24AM] Lano used command ::maxskills | Player rights = DEVELOPER	
[4/17/23 02:24AM] Lano used command ::99 prayer | Player rights = DEVELOPER	
[4/17/23 02:30AM] Lano used command ::upgrade | Player rights = DEVELOPER	
[4/17/23 02:30AM] Lano used command ::staff | Player rights = DEVELOPER	
[4/17/23 02:32AM] Lano used command ::itemlist | Player rights = DEVELOPER	
[4/20/23 12:51PM] Lano used command ::yell New vid in 1 min yt/lanors (1st comment wins gracious box)!!! | Player rights = YOUTUBER	
[4/20/23 12:52PM] Lano used command ::yell 30 sec new vid yt/alnors (1st comment wins gracious box)! | Player rights = YOUTUBER	
[4/20/23 12:54PM] Lano used command ::yell 1st vid uploaded @ ::lano (200$ giveaway gl)! | Player rights = YOUTUBER	
[4/20/23 12:59PM] Lano used command ::yell 1st vid uploaded @ ::lano (200$ giveaway gl)! | Player rights = YOUTUBER	
[4/20/23 01:09PM] Lano used command ::yell 1st vid uploaded @ ::lano (200$ giveaway gl)! | Player rights = YOUTUBER	
[4/20/23 01:17PM] Lano used command ::yell 1st vid uploaded @ ::lano (200$ giveaway gl)! | Player rights = YOUTUBER	
