[4/15/23 06:37AM] Mickey used command ::train | Player rights = PLAYER	
[4/15/23 06:40AM] Mickey used command ::store | Player rights = PLAYER	
[4/15/23 06:42AM] Mickey used command ::train | Player rights = PLAYER	
[4/15/23 06:42AM] Mickey used command ::vote | Player rights = PLAYER	
[4/15/23 06:43AM] Mickey used command ::claim votes | Player rights = PLAYER	
[4/15/23 06:43AM] Mickey used command ::claimvotes | Player rights = PLAYER	
[4/15/23 06:43AM] Mickey used command ::claimvote | Player rights = PLAYER	
[4/15/23 06:43AM] Mickey used command ::voted | Player rights = PLAYER	
[4/15/23 06:43AM] Mickey used command ::claim | Player rights = PLAYER	
[4/15/23 06:44AM] Mickey used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 06:46AM] Mickey used command ::ref walchaos | Player rights = PLAYER	
[4/15/23 06:46AM] Mickey used command ::home | Player rights = PLAYER	
[4/15/23 06:50AM] Mickey used command ::train | Player rights = PLAYER	
[4/15/23 06:50AM] Mickey used command ::home | Player rights = PLAYER	
[4/15/23 06:50AM] Mickey used command ::train | Player rights = PLAYER	
[4/15/23 06:59AM] Mickey used command ::teleport | Player rights = PLAYER	
[4/15/23 06:59AM] Mickey used command ::train | Player rights = PLAYER	
[4/15/23 07:01AM] Mickey used command ::deals | Player rights = PLAYER	
[4/15/23 07:11AM] Mickey used command ::bank | Player rights = PLAYER	
[4/15/23 07:11AM] Mickey used command ::home | Player rights = PLAYER	
[4/15/23 07:11AM] Mickey used command ::train | Player rights = PLAYER	
[4/15/23 07:12AM] Mickey used command ::home | Player rights = PLAYER	
[4/15/23 07:13AM] Mickey used command ::store | Player rights = PLAYER	
[4/15/23 07:19AM] Mickey used command ::claim | Player rights = PLAYER	
[4/15/23 07:19AM] Mickey used command ::claim | Player rights = PLAYER	
[4/15/23 07:22AM] Mickey used command ::home | Player rights = PLAYER	
[4/15/23 07:23AM] Mickey used command ::train | Player rights = PLAYER	
[4/15/23 07:25AM] Mickey used command ::train | Player rights = PLAYER	
[4/15/23 07:27AM] Mickey used command ::bank | Player rights = PLAYER	
[4/15/23 07:36AM] Mickey used command ::home | Player rights = PLAYER	
[4/15/23 07:42AM] Mickey used command ::home | Player rights = PLAYER	
[4/15/23 07:48AM] Mickey used command ::home | Player rights = PLAYER	
[4/15/23 07:52AM] Mickey used command ::home | Player rights = PLAYER	
[4/15/23 07:57AM] Mickey used command ::home | Player rights = PLAYER	
[4/15/23 07:58AM] Mickey used command ::veugar | Player rights = PLAYER	
[4/15/23 07:59AM] Mickey used command ::veigar | Player rights = PLAYER	
[4/15/23 08:00AM] Mickey used command ::totem | Player rights = PLAYER	
[4/15/23 08:01AM] Mickey used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:01AM] Mickey used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:02AM] Mickey used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:03AM] Mickey used command ::merium | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:03AM] Mickey used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:05AM] Mickey used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:48AM] Mickey used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:49AM] Mickey used command ::home | Player rights = GRACEFUL_DONATOR	
