[4/19/23 11:31AM] Monsou used command ::totem | Player rights = PLAYER	
[4/19/23 11:31AM] Monsou used command ::train | Player rights = PLAYER	
[4/19/23 11:42AM] Monsou used command ::meruem | Player rights = PLAYER	
[4/19/23 11:42AM] Monsou used command ::veigar | Player rights = PLAYER	
[4/19/23 11:44AM] Monsou used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Monsou used command ::meruem | Player rights = PLAYER	
[4/19/23 11:46AM] Monsou used command ::golden | Player rights = PLAYER	
[4/19/23 11:48AM] Monsou used command ::totem | Player rights = PLAYER	
[4/19/23 12:02PM] Monsou used command ::totem | Player rights = PLAYER	
[4/19/23 12:13PM] Monsou used command ::veigar | Player rights = PLAYER	
[4/19/23 12:16PM] Monsou used command ::golden | Player rights = PLAYER	
[4/19/23 12:16PM] Monsou used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Monsou used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] Monsou used command ::golden | Player rights = PLAYER	
[4/19/23 12:23PM] Monsou used command ::vote | Player rights = PLAYER	
[4/19/23 12:24PM] Monsou used command ::voted | Player rights = PLAYER	
[4/19/23 12:24PM] Monsou used command ::claimvote | Player rights = PLAYER	
[4/19/23 12:24PM] Monsou used command ::reward 1 | Player rights = PLAYER	
[4/19/23 12:24PM] Monsou used command ::rewar d1 | Player rights = PLAYER	
[4/19/23 12:24PM] Monsou used command ::reward 1 | Player rights = PLAYER	
[4/19/23 12:24PM] Monsou used command ::reward 1 | Player rights = PLAYER	
[4/19/23 12:24PM] Monsou used command ::reward 1 | Player rights = PLAYER	
[4/19/23 12:24PM] Monsou used command ::reward 1 | Player rights = PLAYER	
[4/19/23 12:44PM] Monsou used command ::veigar | Player rights = PLAYER	
[4/19/23 12:45PM] Monsou used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:55PM] Monsou used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:06PM] Monsou used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:14PM] Monsou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:14PM] Monsou used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:15PM] Monsou used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:20PM] Monsou used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:22PM] Monsou used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:43PM] Monsou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:44PM] Monsou used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:44PM] Monsou used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:13PM] Monsou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:15PM] Monsou used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:31AM] Monsou used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:34AM] Monsou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:36AM] Monsou used command ::veifar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:36AM] Monsou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:38AM] Monsou used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:40AM] Monsou used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:42AM] Monsou used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:44AM] Monsou used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:45AM] Monsou used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:46AM] Monsou used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:47AM] Monsou used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:49AM] Monsou used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:54AM] Monsou used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:49PM] Monsou used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:59PM] Monsou used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 12:59PM] Monsou used command ::kills | Player rights = CLERIC_DONATOR	
[4/22/23 06:02AM] Monsou used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:32AM] Monsou used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:02AM] Monsou used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:18AM] Monsou used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:32AM] Monsou used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:56AM] Monsou used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 09:57AM] Monsou used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/22/23 09:58AM] Monsou used command ::voted | Player rights = CLERIC_DONATOR	
