[4/20/23 11:48AM] Monsterbait used command ::refer | Player rights = PLAYER	
[4/20/23 11:48AM] Monsterbait used command ::train | Player rights = PLAYER	
[4/20/23 11:54AM] Monsterbait used command ::train | Player rights = PLAYER	
[4/20/23 12:07PM] Monsterbait used command ::train | Player rights = PLAYER	
[4/20/23 12:07PM] Monsterbait used command ::dtr | Player rights = PLAYER	
[4/20/23 12:07PM] Monsterbait used command ::dr | Player rights = PLAYER	
[4/20/23 12:09PM] Monsterbait used command ::train | Player rights = PLAYER	
[4/20/23 12:18PM] Monsterbait used command ::vote | Player rights = PLAYER	
[4/20/23 12:20PM] Monsterbait used command ::veigar | Player rights = PLAYER	
[4/20/23 12:21PM] Monsterbait used command ::ninetails | Player rights = PLAYER	
[4/20/23 12:21PM] Monsterbait used command ::golden | Player rights = PLAYER	
[4/20/23 12:21PM] Monsterbait used command ::golden | Player rights = PLAYER	
[4/20/23 12:22PM] Monsterbait used command ::golden | Player rights = PLAYER	
[4/20/23 12:22PM] Monsterbait used command ::golden | Player rights = PLAYER	
[4/20/23 12:22PM] Monsterbait used command ::vboss | Player rights = PLAYER	
[4/20/23 12:24PM] Monsterbait used command ::voted | Player rights = PLAYER	
[4/20/23 12:24PM] Monsterbait used command ::claim | Player rights = PLAYER	
[4/20/23 12:26PM] Monsterbait used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 12:38PM] Monsterbait used command ::collection | Player rights = PLAYER	
[4/20/23 01:19PM] Monsterbait used command ::veigar | Player rights = PLAYER	
[4/20/23 01:20PM] Monsterbait used command ::ninetails | Player rights = PLAYER	
[4/20/23 01:21PM] Monsterbait used command ::meruem | Player rights = PLAYER	
[4/20/23 01:23PM] Monsterbait used command ::golden | Player rights = PLAYER	
[4/20/23 01:33PM] Monsterbait used command ::vboss | Player rights = PLAYER	
[4/20/23 01:45PM] Monsterbait used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:48PM] Monsterbait used command ::achievs | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:50PM] Monsterbait used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:09PM] Monsterbait used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:11PM] Monsterbait used command ::pos::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:11PM] Monsterbait used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:13PM] Monsterbait used command ::pos' | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:13PM] Monsterbait used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:14PM] Monsterbait used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:19PM] Monsterbait used command ::veigar | Player rights = GRACEFUL_DONATOR	
