[4/18/23 02:46AM] Muffin used command ::home | Player rights = PLAYER	
[4/18/23 02:47AM] Muffin used command ::afk | Player rights = PLAYER	
[4/18/23 02:49AM] Muffin used command ::pos | Player rights = PLAYER	
[4/18/23 02:49AM] Muffin used command ::home | Player rights = PLAYER	
[4/18/23 02:51AM] Muffin used command ::afk | Player rights = PLAYER	
[4/18/23 02:51AM] Muffin used command ::skilling | Player rights = PLAYER	
[4/18/23 02:51AM] Muffin used command ::skill | Player rights = PLAYER	
[4/18/23 02:51AM] Muffin used command ::skills | Player rights = PLAYER	
[4/18/23 03:50AM] Muffin used command ::home | Player rights = PLAYER	
[4/18/23 03:50AM] Muffin used command ::afk | Player rights = PLAYER	
[4/18/23 05:45AM] Muffin used command ::ref | Player rights = PLAYER	
[4/18/23 05:45AM] Muffin used command ::ref | Player rights = PLAYER	
[4/18/23 06:36AM] Muffin used command ::home | Player rights = PLAYER	
[4/18/23 06:36AM] Muffin used command ::afk | Player rights = PLAYER	
[4/18/23 06:51AM] Muffin used command ::afk | Player rights = PLAYER	
[4/18/23 06:53AM] Muffin used command ::afk | Player rights = PLAYER	
[4/18/23 07:12AM] Muffin used command ::veigar | Player rights = PLAYER	
[4/18/23 07:14AM] Muffin used command ::afk | Player rights = PLAYER	
[4/18/23 07:32AM] Muffin used command ::home | Player rights = PLAYER	
[4/18/23 07:34AM] Muffin used command ::afk | Player rights = PLAYER	
[4/19/23 12:58AM] Muffin used command ::afk | Player rights = PLAYER	
[4/19/23 12:58AM] Muffin used command ::vote | Player rights = PLAYER	
[4/19/23 06:51AM] Muffin used command ::afk | Player rights = PLAYER	
[4/19/23 06:51AM] Muffin used command ::afk | Player rights = PLAYER	
[4/19/23 06:52AM] Muffin used command ::afk | Player rights = PLAYER	
[4/19/23 07:47AM] Muffin used command ::afk | Player rights = PLAYER	
[4/19/23 09:17AM] Muffin used command ::afk | Player rights = PLAYER	
[4/19/23 10:14AM] Muffin used command ::pos | Player rights = PLAYER	
[4/19/23 10:14AM] Muffin used command ::afk | Player rights = PLAYER	
[4/19/23 04:47PM] Muffin used command ::afk | Player rights = PLAYER	
[4/19/23 05:17PM] Muffin used command :::afk | Player rights = PLAYER	
[4/19/23 05:17PM] Muffin used command ::afk | Player rights = PLAYER	
[4/20/23 12:39AM] Muffin used command ::afk | Player rights = PLAYER	
[4/20/23 02:45AM] Muffin used command ::vote | Player rights = PLAYER	
[4/20/23 01:25PM] Muffin used command ::vote | Player rights = PLAYER	
[4/21/23 01:54AM] Muffin used command ::afk | Player rights = PLAYER	
[4/21/23 02:26AM] Muffin used command ::Vboss | Player rights = PLAYER	
[4/21/23 02:29AM] Muffin used command :::afk | Player rights = PLAYER	
[4/21/23 02:29AM] Muffin used command ::Afk | Player rights = PLAYER	
[4/21/23 03:03AM] Muffin used command ::veigar | Player rights = PLAYER	
[4/21/23 03:05AM] Muffin used command ::afk::afk | Player rights = PLAYER	
[4/21/23 03:05AM] Muffin used command ::afk | Player rights = PLAYER	
