[4/19/23 11:30AM] Norman used command ::ref | Player rights = PLAYER	
[4/19/23 11:41AM] Norman used command ::voteboss | Player rights = PLAYER	
[4/19/23 11:43AM] Norman used command ::veigar | Player rights = PLAYER	
[4/19/23 11:43AM] Norman used command ::voteboss | Player rights = PLAYER	
[4/19/23 11:43AM] Norman used command ::veigar | Player rights = PLAYER	
[4/19/23 11:44AM] Norman used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Norman used command ::meuem | Player rights = PLAYER	
[4/19/23 11:45AM] Norman used command ::meruem | Player rights = PLAYER	
[4/19/23 11:46AM] Norman used command ::golden | Player rights = PLAYER	
[4/19/23 11:48AM] Norman used command ::golden | Player rights = PLAYER	
[4/19/23 12:09PM] Norman used command ::train | Player rights = PLAYER	
[4/19/23 12:13PM] Norman used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Norman used command ::voteboss | Player rights = PLAYER	
[4/19/23 12:16PM] Norman used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Norman used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] Norman used command ::golden | Player rights = PLAYER	
[4/19/23 01:27PM] Norman used command ::afk | Player rights = PLAYER	
[4/19/23 01:27PM] Norman used command ::bank | Player rights = PLAYER	
[4/19/23 01:28PM] Norman used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:28PM] Norman used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:28PM] Norman used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:28PM] Norman used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:43AM] Norman used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:46AM] Norman used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:46AM] Norman used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:48AM] Norman used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:49AM] Norman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:54AM] Norman used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:56AM] Norman used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:31AM] Norman used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:49AM] Norman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:19PM] Norman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:20PM] Norman used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:21PM] Norman used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:21PM] Norman used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:56PM] Norman used command ::lano | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:31PM] Norman used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:32PM] Norman used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:50PM] Norman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:01PM] Norman used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:19PM] Norman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:49PM] Norman used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:52PM] Norman used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:19PM] Norman used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 03:19PM] Norman used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:20PM] Norman used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 03:21PM] Norman used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 03:22PM] Norman used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:35PM] Norman used command ::vote | Player rights = CLERIC_DONATOR	
