[4/20/23 11:04PM] Pjk used command ::donate | Player rights = PLAYER	
[4/20/23 11:06PM] Pjk used command ::claim | Player rights = PLAYER	
[4/20/23 11:12PM] Pjk used command ::dr | Player rights = PLAYER	
[4/20/23 11:13PM] Pjk used command ::bank | Player rights = PLAYER	
[4/20/23 11:13PM] Pjk used command ::bank | Player rights = PLAYER	
[4/20/23 11:25PM] Pjk used command ::claim | Player rights = PLAYER	
[4/20/23 11:32PM] Pjk used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:33PM] Pjk used command ::viegar | Player rights = PLAYER	
[4/20/23 11:33PM] Pjk used command ::veigar | Player rights = PLAYER	
[4/20/23 11:34PM] Pjk used command ::ninetail | Player rights = PLAYER	
[4/20/23 11:34PM] Pjk used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:35PM] Pjk used command ::golden | Player rights = PLAYER	
[4/20/23 11:38PM] Pjk used command ::Dr | Player rights = PLAYER	
[4/20/23 11:45PM] Pjk used command ::pos | Player rights = PLAYER	
[4/20/23 11:49PM] Pjk used command ::donate | Player rights = PLAYER	
[4/20/23 11:50PM] Pjk used command ::shops | Player rights = PLAYER	
[4/21/23 12:49AM] Pjk used command ::claim | Player rights = PLAYER	
[4/21/23 12:52AM] Pjk used command ::players | Player rights = PLAYER	
[4/21/23 12:56AM] Pjk used command ::donate | Player rights = PLAYER	
[4/21/23 12:57AM] Pjk used command ::claim | Player rights = PLAYER	
[4/21/23 12:59AM] Pjk used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 12:59AM] Pjk used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:02AM] Pjk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:06AM] Pjk used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:33AM] Pjk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:33AM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 01:35AM] Pjk used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 01:36AM] Pjk used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:37AM] Pjk used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:47AM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 01:47AM] Pjk used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 01:47AM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 01:58AM] Pjk used command ::ref | Player rights = CLERIC_DONATOR	
[4/21/23 02:03AM] Pjk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:05AM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 02:07AM] Pjk used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:10AM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 02:10AM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 08:16AM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 05:16PM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 05:24PM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 05:24PM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 05:27PM] Pjk used command ::donate | Player rights = CLERIC_DONATOR	
[4/21/23 05:32PM] Pjk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:33PM] Pjk used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Pjk used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:44PM] Pjk used command ::players | Player rights = CLERIC_DONATOR	
[4/21/23 06:09PM] Pjk used command ::donate | Player rights = CLERIC_DONATOR	
[4/21/23 06:19PM] Pjk used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:22PM] Pjk used command ::wboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:22PM] Pjk used command ::wboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:23PM] Pjk used command ::donate | Player rights = CLERIC_DONATOR	
[4/21/23 06:26PM] Pjk used command ::instance | Player rights = CLERIC_DONATOR	
[4/21/23 06:27PM] Pjk used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:27PM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 06:27PM] Pjk used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 06:32PM] Pjk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Pjk used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:34PM] Pjk used command ::meruem::dr | Player rights = CLERIC_DONATOR	
[4/21/23 06:34PM] Pjk used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:35PM] Pjk used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:35PM] Pjk used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:36PM] Pjk used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:37PM] Pjk used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:38PM] Pjk used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:38PM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 07:00PM] Pjk used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 07:02PM] Pjk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:09PM] Pjk used command :::dr | Player rights = CLERIC_DONATOR	
[4/21/23 07:09PM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 07:10PM] Pjk used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 07:43PM] Pjk used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 10:11PM] Pjk used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 10:12PM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 10:28PM] Pjk used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:29PM] Pjk used command ::donate | Player rights = CLERIC_DONATOR	
[4/21/23 10:31PM] Pjk used command ::Dr | Player rights = CLERIC_DONATOR	
[4/21/23 10:32PM] Pjk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:33PM] Pjk used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:34PM] Pjk used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 10:36PM] Pjk used command ::donate | Player rights = CLERIC_DONATOR	
[4/21/23 10:36PM] Pjk used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:48PM] Pjk used command ::Dr | Player rights = CLERIC_DONATOR	
[4/21/23 10:50PM] Pjk used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:56PM] Pjk used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:58PM] Pjk used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:00PM] Pjk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:00PM] Pjk used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:01PM] Pjk used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:05PM] Pjk used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 11:05PM] Pjk used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:07PM] Pjk used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:07PM] Pjk used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:24PM] Pjk used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 11:27PM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 04:49AM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 04:49AM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 04:56AM] Pjk used command ::dr | Player rights = CLERIC_DONATOR	
[4/22/23 05:02AM] Pjk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:17AM] Pjk used command ::Dr | Player rights = CLERIC_DONATOR	
[4/22/23 05:32AM] Pjk used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:33AM] Pjk used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:34AM] Pjk used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:35AM] Pjk used command ::Dr | Player rights = CLERIC_DONATOR	
[4/22/23 05:35AM] Pjk used command ::donate | Player rights = CLERIC_DONATOR	
[4/22/23 05:43AM] Pjk used command ::donate | Player rights = CLERIC_DONATOR	
[4/22/23 05:44AM] Pjk used command ::claim | Player rights = CLERIC_DONATOR	
[4/22/23 05:46AM] Pjk used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 05:51AM] Pjk used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 05:55AM] Pjk used command ::claim | Player rights = TORMENTED_DONATOR	
[4/22/23 05:55AM] Pjk used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 05:55AM] Pjk used command ::dzone | Player rights = TORMENTED_DONATOR	
[4/22/23 06:16AM] Pjk used command ::npckills | Player rights = TORMENTED_DONATOR	
[4/22/23 06:16AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 06:29AM] Pjk used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 06:29AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 06:29AM] Pjk used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 06:29AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 06:29AM] Pjk used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 06:32AM] Pjk used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:32AM] Pjk used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:44AM] Pjk used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 06:46AM] Pjk used command ::reward 1 | Player rights = TORMENTED_DONATOR	
