[4/23/23 07:34AM] Plat used command ::veigar | Player rights = PLAYER	
[4/23/23 07:35AM] Plat used command ::train | Player rights = PLAYER	
[4/23/23 07:35AM] Plat used command ::vote | Player rights = PLAYER	
[4/23/23 07:36AM] Plat used command ::reward 1 all | Player rights = PLAYER	
[4/23/23 07:36AM] Plat used command ::voted | Player rights = PLAYER	
[4/23/23 07:36AM] Plat used command ::reward | Player rights = PLAYER	
[4/23/23 07:37AM] Plat used command ::reward 1 all | Player rights = PLAYER	
[4/23/23 07:37AM] Plat used command ::reward 1 3 | Player rights = PLAYER	
[4/23/23 07:38AM] Plat used command ::ref walkchaos | Player rights = PLAYER	
[4/23/23 07:40AM] Plat used command ::train | Player rights = PLAYER	
[4/23/23 07:46AM] Plat used command ::bank | Player rights = PLAYER	
[4/23/23 07:58AM] Plat used command ::store | Player rights = PLAYER	
[4/23/23 08:04AM] Plat used command ::veigar | Player rights = PLAYER	
[4/23/23 08:05AM] Plat used command ::ninetails | Player rights = PLAYER	
[4/23/23 08:05AM] Plat used command ::meruem | Player rights = PLAYER	
[4/23/23 08:34AM] Plat used command ::verigar | Player rights = PLAYER	
[4/23/23 08:34AM] Plat used command ::veigar | Player rights = PLAYER	
[4/23/23 08:46AM] Plat used command ::perks | Player rights = PLAYER	
