[4/20/23 11:28AM] Roe used command ::training | Player rights = PLAYER	
[4/20/23 11:31AM] Roe used command ::ref fpk merk | Player rights = PLAYER	
[4/20/23 11:36AM] Roe used command ::train | Player rights = PLAYER	
[4/20/23 11:49AM] Roe used command ::veigar | Player rights = PLAYER	
[4/20/23 11:52AM] Roe used command ::altar | Player rights = PLAYER	
[4/20/23 11:52AM] Roe used command ::home | Player rights = PLAYER	
[4/20/23 12:01PM] Roe used command ::Train | Player rights = PLAYER	
[4/20/23 12:01PM] Roe used command ::train | Player rights = PLAYER	
[4/20/23 12:03PM] Roe used command ::train | Player rights = PLAYER	
[4/20/23 12:04PM] Roe used command ::home | Player rights = PLAYER	
[4/20/23 12:09PM] Roe used command ::home | Player rights = PLAYER	
[4/20/23 12:11PM] Roe used command ::home | Player rights = PLAYER	
[4/20/23 12:17PM] Roe used command ::vote | Player rights = PLAYER	
[4/20/23 12:19PM] Roe used command ::veigar | Player rights = PLAYER	
[4/20/23 12:20PM] Roe used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 12:20PM] Roe used command ::voteboss | Player rights = PLAYER	
[4/20/23 12:25PM] Roe used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 12:26PM] Roe used command ::reward 1 all | Player rights = PLAYER	
[4/20/23 12:32PM] Roe used command ::home | Player rights = PLAYER	
[4/20/23 12:35PM] Roe used command ::home | Player rights = PLAYER	
[4/20/23 12:42PM] Roe used command ::dr | Player rights = PLAYER	
[4/20/23 12:49PM] Roe used command ::dr | Player rights = PLAYER	
[4/20/23 12:49PM] Roe used command ::veigar | Player rights = PLAYER	
[4/20/23 01:05PM] Roe used command ::home | Player rights = PLAYER	
[4/21/23 04:18AM] Roe used command ::pos | Player rights = PLAYER	
[4/21/23 04:20AM] Roe used command ::vote | Player rights = PLAYER	
[4/21/23 04:21AM] Roe used command ::voteboss | Player rights = PLAYER	
[4/21/23 04:23AM] Roe used command ::voted | Player rights = PLAYER	
[4/21/23 04:23AM] Roe used command ::reward 1 all | Player rights = PLAYER	
[4/21/23 04:23AM] Roe used command ::home | Player rights = PLAYER	
[4/21/23 04:33AM] Roe used command ::veigar | Player rights = PLAYER	
[4/21/23 05:03AM] Roe used command ::veigar | Player rights = PLAYER	
[4/21/23 05:32AM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:32AM] Roe used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:33AM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:34AM] Roe used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:35AM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:02AM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:32AM] Roe used command ::veigsa | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:32AM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:34AM] Roe used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35AM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35AM] Roe used command ::merem | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35AM] Roe used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35AM] Roe used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:36AM] Roe used command ::golde | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:36AM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:38AM] Roe used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:38AM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:40AM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:55AM] Roe used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:55AM] Roe used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:55AM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:02AM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:10AM] Roe used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:26AM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:33AM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:34AM] Roe used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:35AM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:35AM] Roe used command ::muruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:35AM] Roe used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:41AM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:46AM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:51AM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:56AM] Roe used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:56AM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:57AM] Roe used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:57AM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:58AM] Roe used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:58AM] Roe used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:59AM] Roe used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 07:59AM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:02AM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:30AM] Roe used command ::hom | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:30AM] Roe used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Roe used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Roe used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:33AM] Roe used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34AM] Roe used command ::ninetails | Player rights = GRACEFUL_DONATOR	
