[4/21/23 08:04AM] Rogrim used command ::train | Player rights = PLAYER	
[4/21/23 08:43AM] Rogrim used command ::train | Player rights = PLAYER	
[4/21/23 08:44AM] Rogrim used command ::zones | Player rights = PLAYER	
[4/21/23 08:49AM] Rogrim used command ::bank | Player rights = PLAYER	
[4/21/23 09:02AM] Rogrim used command ::veiga::veigar | Player rights = PLAYER	
[4/21/23 09:03AM] Rogrim used command ::veigar | Player rights = PLAYER	
[4/21/23 09:22AM] Rogrim used command ::skill | Player rights = PLAYER	
[4/21/23 09:32AM] Rogrim used command ::ninetails | Player rights = PLAYER	
[4/21/23 09:33AM] Rogrim used command ::veigar | Player rights = PLAYER	
[4/21/23 09:41AM] Rogrim used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:42AM] Rogrim used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:42AM] Rogrim used command ::traon 2 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:42AM] Rogrim used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:42AM] Rogrim used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:46AM] Rogrim used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:56AM] Rogrim used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:58AM] Rogrim used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:01AM] Rogrim used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02AM] Rogrim used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:41PM] Rogrim used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:44PM] Rogrim used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:44PM] Rogrim used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:55PM] Rogrim used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:03PM] Rogrim used command ::veigar | Player rights = GRACEFUL_DONATOR	
