[4/21/23 02:51PM] Roy used command ::train | Player rights = PLAYER	
[4/21/23 03:02PM] Roy used command ::train | Player rights = PLAYER	
[4/21/23 03:02PM] Roy used command ::veigar | Player rights = PLAYER	
[4/21/23 03:04PM] Roy used command ::vboss | Player rights = PLAYER	
[4/22/23 02:02AM] Roy used command ::veigar | Player rights = PLAYER	
[4/22/23 02:32AM] Roy used command ::golden | Player rights = PLAYER	
[4/22/23 02:33AM] Roy used command ::veigar | Player rights = PLAYER	
[4/22/23 02:33AM] Roy used command ::veigar | Player rights = PLAYER	
[4/22/23 02:34AM] Roy used command ::meruem | Player rights = PLAYER	
[4/22/23 02:34AM] Roy used command ::golden | Player rights = PLAYER	
[4/22/23 02:34AM] Roy used command ::ninetales | Player rights = PLAYER	
[4/22/23 02:35AM] Roy used command ::ninetails | Player rights = PLAYER	
[4/22/23 02:36AM] Roy used command ::golden | Player rights = PLAYER	
[4/22/23 02:36AM] Roy used command ::meruem | Player rights = PLAYER	
[4/22/23 02:37AM] Roy used command ::golden | Player rights = PLAYER	
[4/22/23 02:38AM] Roy used command ::golden | Player rights = PLAYER	
[4/22/23 02:39AM] Roy used command ::golden | Player rights = PLAYER	
