[4/15/23 06:29PM] Sandesus used command ::veigar | Player rights = PLAYER	
[4/15/23 06:34PM] Sandesus used command ::empty | Player rights = PLAYER	
[4/15/23 06:34PM] Sandesus used command ::empty | Player rights = PLAYER	
[4/15/23 06:34PM] Sandesus used command ::bank | Player rights = PLAYER	
[4/15/23 06:34PM] Sandesus used command ::bank | Player rights = PLAYER	
[4/15/23 06:34PM] Sandesus used command ::find agumond | Player rights = PLAYER	
[4/15/23 06:34PM] Sandesus used command ::find agumon | Player rights = DEVELOPER	
[4/15/23 06:35PM] Sandesus used command ::item 9666 | Player rights = DEVELOPER	
[4/15/23 06:35PM] Sandesus used command ::item 22155 | Player rights = DEVELOPER	
[4/15/23 06:35PM] Sandesus used command ::random | Player rights = DEVELOPER	
[4/15/23 06:35PM] Sandesus used command ::item 8788 | Player rights = DEVELOPER	
[4/15/23 06:35PM] Sandesus used command ::empty | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::bank | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::item 2736 2- | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::item 2736 10 | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::item 15003 10 | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::item 15002 10 | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::item 15004 10 | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::item 20489 10 | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::item 20491 10 | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::item 20490 10 | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::item 2736 90 | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::find bond | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::item 23058 1 | Player rights = DEVELOPER	
[4/15/23 06:38PM] Sandesus used command ::bank | Player rights = DEVELOPER	
[4/15/23 06:55PM] Sandesus used command ::train | Player rights = CLERIC_DONATOR	
[4/15/23 06:58PM] Sandesus used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 07:10PM] Sandesus used command ::train | Player rights = TORMENTED_DONATOR	
[4/15/23 07:28PM] Sandesus used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/15/23 07:48PM] Sandesus used command ::teleport | Player rights = TORMENTED_DONATOR	
[4/15/23 07:48PM] Sandesus used command ::teleport | Player rights = TORMENTED_DONATOR	
