[4/21/23 11:03AM] Shady used command ::referral | Player rights = PLAYER	
[4/21/23 11:31AM] Shady used command ::veigar | Player rights = PLAYER	
[4/21/23 11:34AM] Shady used command ::ninetails | Player rights = PLAYER	
[4/21/23 11:35AM] Shady used command ::golden | Player rights = PLAYER	
[4/21/23 11:53AM] Shady used command ::::vote | Player rights = PLAYER	
[4/21/23 11:53AM] Shady used command ::vote | Player rights = PLAYER	
[4/21/23 11:56AM] Shady used command ::reward 1 | Player rights = PLAYER	
[4/21/23 12:02PM] Shady used command ::veigar | Player rights = PLAYER	
[4/21/23 12:05PM] Shady used command ::voteboss | Player rights = PLAYER	
[4/21/23 12:13PM] Shady used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:33PM] Shady used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:34PM] Shady used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:35PM] Shady used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:35PM] Shady used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:59PM] Shady used command ::ref fpk merk | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:02PM] Shady used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:11PM] Shady used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:02PM] Shady used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:40AM] Shady used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:02AM] Shady used command ::verigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:02AM] Shady used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:32AM] Shady used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:34AM] Shady used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:35AM] Shady used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:35AM] Shady used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:50AM] Shady used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:51AM] Shady used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:57AM] Shady used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:02PM] Shady used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:06PM] Shady used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:09PM] Shady used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:11PM] Shady used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:13PM] Shady used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:53AM] Shady used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:54AM] Shady used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:55AM] Shady used command ::ninetails | Player rights = GRACEFUL_DONATOR	
