[4/18/23 10:38AM] Spacemonkey used command ::train | Player rights = PLAYER	
[4/18/23 10:39AM] Spacemonkey used command ::bank | Player rights = PLAYER	
[4/18/23 10:40AM] Spacemonkey used command ::train | Player rights = PLAYER	
[4/18/23 10:41AM] Spacemonkey used command ::veigar | Player rights = PLAYER	
[4/18/23 10:42AM] Spacemonkey used command ::train | Player rights = PLAYER	
[4/18/23 10:42AM] Spacemonkey used command ::vote | Player rights = PLAYER	
[4/18/23 10:44AM] Spacemonkey used command ::claimvote | Player rights = PLAYER	
[4/18/23 10:44AM] Spacemonkey used command ::claimvote | Player rights = PLAYER	
[4/18/23 10:44AM] Spacemonkey used command ::reward 1 | Player rights = PLAYER	
[4/18/23 10:45AM] Spacemonkey used command ::reward1 | Player rights = PLAYER	
[4/18/23 10:45AM] Spacemonkey used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 10:45AM] Spacemonkey used command ::reward 1 all | Player rights = PLAYER	
[4/18/23 10:45AM] Spacemonkey used command ::reward 1 twice | Player rights = PLAYER	
[4/18/23 10:45AM] Spacemonkey used command ::reward 1 | Player rights = PLAYER	
[4/18/23 10:46AM] Spacemonkey used command ::reward 1 | Player rights = PLAYER	
[4/18/23 10:46AM] Spacemonkey used command ::ref fpk merk | Player rights = PLAYER	
[4/18/23 10:47AM] Spacemonkey used command ::train | Player rights = PLAYER	
[4/18/23 10:52AM] Spacemonkey used command ::train | Player rights = PLAYER	
[4/18/23 10:57AM] Spacemonkey used command ::home | Player rights = PLAYER	
[4/18/23 11:05AM] Spacemonkey used command ::claim | Player rights = PLAYER	
[4/18/23 11:09AM] Spacemonkey used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:09AM] Spacemonkey used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:10AM] Spacemonkey used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:11AM] Spacemonkey used command ::achievement | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:11AM] Spacemonkey used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:11AM] Spacemonkey used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:12AM] Spacemonkey used command ::achievement | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:18AM] Spacemonkey used command ::kc | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:26AM] Spacemonkey used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:28AM] Spacemonkey used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:29AM] Spacemonkey used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:30AM] Spacemonkey used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:37AM] Spacemonkey used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:37AM] Spacemonkey used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:41AM] Spacemonkey used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:51AM] Spacemonkey used command ::store | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:54AM] Spacemonkey used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:54AM] Spacemonkey used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:10PM] Spacemonkey used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:16PM] Spacemonkey used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:19PM] Spacemonkey used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:23PM] Spacemonkey used command ::shops | Player rights = CLERIC_DONATOR	
[4/18/23 12:23PM] Spacemonkey used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:39PM] Spacemonkey used command ::globals | Player rights = CLERIC_DONATOR	
[4/18/23 12:39PM] Spacemonkey used command ::globals | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Spacemonkey used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Spacemonkey used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Spacemonkey used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Spacemonkey used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Spacemonkey used command ::ninetailes | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Spacemonkey used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Spacemonkey used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Spacemonkey used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:45PM] Spacemonkey used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 12:49PM] Spacemonkey used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 12:59PM] Spacemonkey used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 01:01PM] Spacemonkey used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 01:04PM] Spacemonkey used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 01:07PM] Spacemonkey used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 01:11PM] Spacemonkey used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:12PM] Spacemonkey used command ::kills | Player rights = CLERIC_DONATOR	
[4/18/23 01:15PM] Spacemonkey used command ::dropsoff | Player rights = CLERIC_DONATOR	
[4/18/23 01:15PM] Spacemonkey used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 01:16PM] Spacemonkey used command ::dropon | Player rights = CLERIC_DONATOR	
[4/18/23 01:16PM] Spacemonkey used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 01:16PM] Spacemonkey used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 01:18PM] Spacemonkey used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 01:18PM] Spacemonkey used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 01:20PM] Spacemonkey used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 01:22PM] Spacemonkey used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 01:23PM] Spacemonkey used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] Spacemonkey used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:33PM] Spacemonkey used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 01:34PM] Spacemonkey used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 01:38PM] Spacemonkey used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 01:40PM] Spacemonkey used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Spacemonkey used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42PM] Spacemonkey used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:45PM] Spacemonkey used command ::Dr | Player rights = CLERIC_DONATOR	
[4/18/23 01:45PM] Spacemonkey used command ::max | Player rights = CLERIC_DONATOR	
[4/18/23 01:46PM] Spacemonkey used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 01:51PM] Spacemonkey used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 01:38AM] Spacemonkey used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:06AM] Spacemonkey used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:32AM] Spacemonkey used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Spacemonkey used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:36AM] Spacemonkey used command ::dropon | Player rights = CLERIC_DONATOR	
[4/20/23 10:37AM] Spacemonkey used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/20/23 10:37AM] Spacemonkey used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/20/23 10:37AM] Spacemonkey used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Spacemonkey used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:40AM] Spacemonkey used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Spacemonkey used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Spacemonkey used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Spacemonkey used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Spacemonkey used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Spacemonkey used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:53AM] Spacemonkey used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 11:03AM] Spacemonkey used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 11:16AM] Spacemonkey used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 11:17AM] Spacemonkey used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 11:18AM] Spacemonkey used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 11:18AM] Spacemonkey used command ::kills | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Spacemonkey used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:21AM] Spacemonkey used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Spacemonkey used command ::meruem | Player rights = CLERIC_DONATOR	
