[4/15/23 04:44AM] Sparky used command ::afk | Player rights = PLAYER	
[4/15/23 04:46AM] Sparky used command ::shops | Player rights = PLAYER	
[4/15/23 04:46AM] Sparky used command ::vote | Player rights = PLAYER	
[4/15/23 04:50AM] Sparky used command ::meruem | Player rights = PLAYER	
[4/15/23 04:52AM] Sparky used command ::store | Player rights = PLAYER	
[4/15/23 04:53AM] Sparky used command ::referal | Player rights = PLAYER	
[4/15/23 04:53AM] Sparky used command ::ref walkchaose | Player rights = PLAYER	
[4/15/23 04:55AM] Sparky used command ::meruem | Player rights = PLAYER	
[4/15/23 05:00AM] Sparky used command ::voteboss | Player rights = PLAYER	
[4/15/23 07:14PM] Sparky used command ::train | Player rights = PLAYER	
[4/15/23 07:15PM] Sparky used command ::afk | Player rights = PLAYER	
[4/15/23 07:15PM] Sparky used command ::shops | Player rights = PLAYER	
[4/15/23 07:15PM] Sparky used command ::home | Player rights = PLAYER	
[4/15/23 07:16PM] Sparky used command ::afk | Player rights = PLAYER	
[4/15/23 07:16PM] Sparky used command ::vote | Player rights = PLAYER	
[4/16/23 02:53AM] Sparky used command ::veigar | Player rights = PLAYER	
[4/16/23 02:56AM] Sparky used command ::afk | Player rights = PLAYER	
[4/16/23 02:59AM] Sparky used command ::vote | Player rights = PLAYER	
[4/17/23 04:48PM] Sparky used command ::afk | Player rights = PLAYER	
[4/17/23 04:58PM] Sparky used command ::vote | Player rights = PLAYER	
[4/19/23 12:31AM] Sparky used command ::train | Player rights = PLAYER	
[4/25/23 06:24PM] Sparky used command ::bank | Player rights = PLAYER	
[4/25/23 06:24PM] Sparky used command ::bank | Player rights = PLAYER	
[4/25/23 06:24PM] Sparky used command ::bank | Player rights = PLAYER	
[4/25/23 06:24PM] Sparky used command ::bank | Player rights = PLAYER	
[4/25/23 06:24PM] Sparky used command ::bank | Player rights = PLAYER	
[4/25/23 06:29PM] Sparky used command ::afk | Player rights = PLAYER	
[4/25/23 06:29PM] Sparky used command ::vote | Player rights = PLAYER	
[4/25/23 06:29PM] Sparky used command ::store | Player rights = PLAYER	
[4/25/23 06:31PM] Sparky used command ::ninetails | Player rights = PLAYER	
[4/25/23 06:31PM] Sparky used command ::veigar | Player rights = PLAYER	
[4/25/23 06:32PM] Sparky used command ::ninetails | Player rights = PLAYER	
[4/25/23 06:35PM] Sparky used command ::afk | Player rights = PLAYER	
[4/25/23 06:42PM] Sparky used command ::vboss | Player rights = PLAYER	
[4/25/23 06:43PM] Sparky used command ::afk | Player rights = PLAYER	
[4/25/23 09:54PM] Sparky used command ::train | Player rights = PLAYER	
[4/25/23 09:57PM] Sparky used command ::train | Player rights = PLAYER	
[4/25/23 09:59PM] Sparky used command ::veigar | Player rights = PLAYER	
[4/25/23 10:08PM] Sparky used command ::train | Player rights = PLAYER	
[4/25/23 10:32PM] Sparky used command ::ninetails | Player rights = PLAYER	
[4/25/23 10:34PM] Sparky used command ::golden | Player rights = PLAYER	
[4/25/23 11:31PM] Sparky used command ::viegar | Player rights = PLAYER	
[4/26/23 12:26AM] Sparky used command ::viegar | Player rights = PLAYER	
[4/26/23 12:39AM] Sparky used command ::vboss | Player rights = PLAYER	
