[4/23/23 10:36AM] Tekk used command ::train | Player rights = PLAYER	
[4/23/23 10:42AM] Tekk used command ::curses | Player rights = PLAYER	
[4/23/23 10:43AM] Tekk used command ::train | Player rights = PLAYER	
[4/23/23 10:45AM] Tekk used command ::home | Player rights = PLAYER	
[4/23/23 10:46AM] Tekk used command ::boss | Player rights = PLAYER	
[4/26/23 11:13AM] Tekk used command ::skill | Player rights = PLAYER	
[4/26/23 11:13AM] Tekk used command ::skills | Player rights = PLAYER	
[4/26/23 11:13AM] Tekk used command ::boss | Player rights = PLAYER	
[4/26/23 11:15AM] Tekk used command ::commands | Player rights = PLAYER	
[4/26/23 11:15AM] Tekk used command ::train | Player rights = PLAYER	
[4/26/23 11:15AM] Tekk used command ::train2 | Player rights = PLAYER	
[4/26/23 11:16AM] Tekk used command ::mystic | Player rights = PLAYER	
[4/26/23 11:18AM] Tekk used command ::tele | Player rights = PLAYER	
[4/26/23 11:26AM] Tekk used command ::kills | Player rights = PLAYER	
[4/26/23 11:29AM] Tekk used command ::kills | Player rights = PLAYER	
[4/26/23 11:38AM] Tekk used command ::kills | Player rights = PLAYER	
[4/26/23 11:51AM] Tekk used command ::kills | Player rights = PLAYER	
[4/26/23 11:59AM] Tekk used command ::kills | Player rights = PLAYER	
[4/26/23 12:07PM] Tekk used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/26/23 04:03PM] Tekk used command ::kills | Player rights = GRACEFUL_DONATOR	
