[4/18/23 01:46AM] Thajoka135 used command ::train | Player rights = PLAYER	
[4/18/23 02:01AM] Thajoka135 used command ::home | Player rights = PLAYER	
[4/18/23 02:04AM] Thajoka135 used command ::shop | Player rights = PLAYER	
[4/18/23 02:04AM] Thajoka135 used command ::shops | Player rights = PLAYER	
[4/18/23 07:10PM] Thajoka135 used command ::train | Player rights = PLAYER	
[4/18/23 07:43PM] Thajoka135 used command ::home | Player rights = PLAYER	
[4/18/23 07:44PM] Thajoka135 used command ::train | Player rights = PLAYER	
[4/18/23 07:50PM] Thajoka135 used command ::ref fpk merk | Player rights = PLAYER	
[4/18/23 08:12PM] Thajoka135 used command ::veigar | Player rights = PLAYER	
[4/18/23 08:17PM] Thajoka135 used command ::home | Player rights = PLAYER	
[4/18/23 08:22PM] Thajoka135 used command ::skills | Player rights = PLAYER	
[4/18/23 08:22PM] Thajoka135 used command ::skills | Player rights = PLAYER	
[4/18/23 08:22PM] Thajoka135 used command ::skill | Player rights = PLAYER	
[4/18/23 08:22PM] Thajoka135 used command ::craft | Player rights = PLAYER	
[4/18/23 08:22PM] Thajoka135 used command ::commands | Player rights = PLAYER	
[4/18/23 08:23PM] Thajoka135 used command ::shops | Player rights = PLAYER	
[4/18/23 08:23PM] Thajoka135 used command ::shops | Player rights = PLAYER	
[4/18/23 08:23PM] Thajoka135 used command ::shop | Player rights = PLAYER	
[4/18/23 08:23PM] Thajoka135 used command ::gamble | Player rights = PLAYER	
[4/23/23 01:29AM] Thajoka135 used command ::home | Player rights = PLAYER	
[4/23/23 01:29AM] Thajoka135 used command ::kills | Player rights = PLAYER	
[4/23/23 01:33AM] Thajoka135 used command ::veigar | Player rights = PLAYER	
[4/23/23 01:40AM] Thajoka135 used command ::kills | Player rights = PLAYER	
[4/23/23 01:44AM] Thajoka135 used command ::kills | Player rights = PLAYER	
[4/23/23 01:54AM] Thajoka135 used command ::kills | Player rights = PLAYER	
[4/23/23 01:56AM] Thajoka135 used command ::home | Player rights = PLAYER	
[4/23/23 01:58AM] Thajoka135 used command ::bank | Player rights = PLAYER	
[4/23/23 01:58AM] Thajoka135 used command ::bank | Player rights = PLAYER	
[4/23/23 01:58AM] Thajoka135 used command ::home | Player rights = PLAYER	
[4/23/23 01:58AM] Thajoka135 used command ::kills | Player rights = PLAYER	
[4/23/23 02:02AM] Thajoka135 used command ::veigar | Player rights = PLAYER	
[4/23/23 02:05AM] Thajoka135 used command ::kills | Player rights = PLAYER	
[4/23/23 02:07AM] Thajoka135 used command ::home | Player rights = PLAYER	
[4/23/23 02:07AM] Thajoka135 used command ::shops | Player rights = PLAYER	
[4/23/23 02:07AM] Thajoka135 used command ::shop | Player rights = PLAYER	
[4/23/23 02:10AM] Thajoka135 used command ::home | Player rights = PLAYER	
[4/23/23 02:23AM] Thajoka135 used command ::kills | Player rights = PLAYER	
[4/23/23 02:27AM] Thajoka135 used command ::home | Player rights = PLAYER	
[4/23/23 02:28AM] Thajoka135 used command ::home | Player rights = PLAYER	
