[4/23/23 06:09AM] Thor used command ::ref | Player rights = PLAYER	
[4/23/23 06:10AM] Thor used command ::afk | Player rights = PLAYER	
[4/23/23 06:10AM] Thor used command ::afk | Player rights = PLAYER	
[4/23/23 09:38AM] Thor used command ::afk | Player rights = PLAYER	
[4/23/23 09:38AM] Thor used command ::refer | Player rights = PLAYER	
[4/23/23 10:11AM] Thor used command ::afk | Player rights = PLAYER	
[4/23/23 11:59AM] Thor used command ::afk | Player rights = PLAYER	
[4/26/23 04:19AM] Thor used command ::pin | Player rights = PLAYER	
[4/26/23 04:19AM] Thor used command ::afk | Player rights = PLAYER	
[4/26/23 04:20AM] Thor used command ::afk | Player rights = PLAYER	
[4/27/23 02:36AM] Thor used command ::afk | Player rights = PLAYER	
[4/27/23 04:33AM] Thor used command ::vote | Player rights = PLAYER	
[4/27/23 04:33AM] Thor used command ::afk | Player rights = PLAYER	
[4/27/23 04:38AM] Thor used command ::reward 1 all | Player rights = PLAYER	
[4/27/23 07:29AM] Thor used command ::afk | Player rights = PLAYER	
[4/27/23 07:47AM] Thor used command ::afk | Player rights = PLAYER	
[4/27/23 10:20AM] Thor used command ::afk | Player rights = PLAYER	
[4/27/23 10:22AM] Thor used command ::wr3cked | Player rights = PLAYER	
[4/27/23 10:25AM] Thor used command ::reward 1 all | Player rights = PLAYER	
[4/27/23 10:26AM] Thor used command ::Ref walkchaos | Player rights = PLAYER	
[4/27/23 10:26AM] Thor used command ::ref | Player rights = PLAYER	
[4/27/23 10:26AM] Thor used command ::ref | Player rights = PLAYER	
[4/27/23 10:26AM] Thor used command ::Ref | Player rights = PLAYER	
[4/27/23 10:26AM] Thor used command ::ref | Player rights = PLAYER	
[4/27/23 11:15AM] Thor used command ::dr | Player rights = PLAYER	
[4/27/23 11:17AM] Thor used command ::afk | Player rights = PLAYER	
[4/27/23 11:41AM] Thor used command ::afk | Player rights = PLAYER	
