[4/15/23 06:56AM] Tyron used command ::train | Player rights = PLAYER	
[4/15/23 06:57AM] Tyron used command ::train | Player rights = PLAYER	
[4/15/23 07:11AM] Tyron used command ::vote | Player rights = PLAYER	
[4/15/23 07:15AM] Tyron used command ::voted | Player rights = PLAYER	
[4/15/23 07:15AM] Tyron used command ::claimvote | Player rights = PLAYER	
[4/15/23 07:15AM] Tyron used command ::reward 1 all | Player rights = PLAYER	
[4/15/23 07:16AM] Tyron used command ::claim | Player rights = PLAYER	
[4/15/23 07:20AM] Tyron used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:28AM] Tyron used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:30AM] Tyron used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:30AM] Tyron used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:33AM] Tyron used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:37AM] Tyron used command ::totems | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:37AM] Tyron used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:37AM] Tyron used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:40AM] Tyron used command ::yell all to veigar lesgooooooooooo | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:44AM] Tyron used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:59AM] Tyron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:00AM] Tyron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:03AM] Tyron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:05AM] Tyron used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:39PM] Tyron used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:31PM] Tyron used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:43PM] Tyron used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:45PM] Tyron used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:53PM] Tyron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:40AM] Tyron used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:45AM] Tyron used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:53AM] Tyron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19AM] Tyron used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:39AM] Tyron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:39AM] Tyron used command ::meraum | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:40AM] Tyron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:40AM] Tyron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:40AM] Tyron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:44AM] Tyron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:44AM] Tyron used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:47AM] Tyron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:48AM] Tyron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:49AM] Tyron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:49AM] Tyron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:50AM] Tyron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:51AM] Tyron used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:54AM] Tyron used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:55AM] Tyron used command ::yell all to ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:04AM] Tyron used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:39AM] Tyron used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 03:40AM] Tyron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:41AM] Tyron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:42AM] Tyron used command ::ni::,eruam | Player rights = CLERIC_DONATOR	
[4/17/23 03:42AM] Tyron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 03:43AM] Tyron used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 03:56AM] Tyron used command ::dz | Player rights = CLERIC_DONATOR	
[4/17/23 03:57AM] Tyron used command ::dzone | Player rights = CLERIC_DONATOR	
[4/17/23 04:09AM] Tyron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:11AM] Tyron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:40AM] Tyron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Tyron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Tyron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:43AM] Tyron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:45AM] Tyron used command ::voteboss | Player rights = CLERIC_DONATOR	
