[4/20/23 05:56AM] U used command ::pos | Player rights = PLAYER	
[4/20/23 05:56AM] U used command ::Starter | Player rights = PLAYER	
[4/20/23 05:56AM] U used command ::reffer | Player rights = PLAYER	
[4/20/23 05:56AM] U used command ::Refer | Player rights = PLAYER	
[4/20/23 06:04AM] U used command ::altar | Player rights = PLAYER	
[4/20/23 06:07AM] U used command ::refer | Player rights = PLAYER	
[4/20/23 06:08AM] U used command ::wr3cked | Player rights = PLAYER	
[4/20/23 06:13AM] U used command ::donate | Player rights = PLAYER	
[4/20/23 06:19AM] U used command ::veigar | Player rights = PLAYER	
[4/20/23 06:21AM] U used command ::ninetails | Player rights = PLAYER	
[4/20/23 06:22AM] U used command ::golden | Player rights = PLAYER	
[4/20/23 06:29AM] U used command ::veigar | Player rights = PLAYER	
[4/20/23 06:33AM] U used command ::voteboss | Player rights = PLAYER	
[4/20/23 06:46AM] U used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:49AM] U used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 09:19AM] U used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:21AM] U used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 09:22AM] U used command ::wr3ckedyou | Player rights = CLERIC_DONATOR	
[4/24/23 09:24AM] U used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 09:25AM] U used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 09:26AM] U used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/24/23 09:30AM] U used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:30AM] U used command ::hidenames | Player rights = CLERIC_DONATOR	
[4/24/23 09:31AM] U used command ::Yell how do i set hide on names on others? | Player rights = CLERIC_DONATOR	
[4/24/23 09:32AM] U used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 09:33AM] U used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 09:33AM] U used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 09:34AM] U used command ::yell sell 21 dollars | Player rights = CLERIC_DONATOR	
[4/24/23 09:51AM] U used command ::curses | Player rights = CLERIC_DONATOR	
[4/24/23 09:51AM] U used command ::yell sell 21 dollars | Player rights = CLERIC_DONATOR	
[4/24/23 10:01AM] U used command ::orc | Player rights = CLERIC_DONATOR	
[4/25/23 05:07AM] U used command ::npckills | Player rights = CLERIC_DONATOR	
[4/25/23 05:07AM] U used command ::kills | Player rights = CLERIC_DONATOR	
[4/25/23 05:09AM] U used command ::npckills | Player rights = CLERIC_DONATOR	
[4/25/23 05:09AM] U used command ::kills | Player rights = CLERIC_DONATOR	
[4/25/23 05:10AM] U used command ::yell infinite prayer last forever or is temp boost? | Player rights = CLERIC_DONATOR	
[4/25/23 05:11AM] U used command ::yell oh ty | Player rights = CLERIC_DONATOR	
[4/25/23 05:14AM] U used command ::kills | Player rights = CLERIC_DONATOR	
[4/25/23 05:16AM] U used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 05:18AM] U used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 05:30AM] U used command ::kills | Player rights = CLERIC_DONATOR	
[4/25/23 05:31AM] U used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 05:33AM] U used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 05:35AM] U used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 05:37AM] U used command ::Home | Player rights = CLERIC_DONATOR	
[4/25/23 05:40AM] U used command ::kills | Player rights = CLERIC_DONATOR	
[4/25/23 05:43AM] U used command ::yell where is the marksman prayer after unlock? | Player rights = CLERIC_DONATOR	
[4/25/23 05:43AM] U used command ::yell its on reg prayer book? | Player rights = CLERIC_DONATOR	
[4/25/23 05:46AM] U used command ::yell are here bonecrusher ingame? | Player rights = CLERIC_DONATOR	
[4/25/23 06:01AM] U used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 06:01AM] U used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 06:10AM] U used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 06:10AM] U used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 01:36PM] U used command ::ref noble | Player rights = CLERIC_DONATOR	
[4/25/23 01:38PM] U used command ::kills | Player rights = CLERIC_DONATOR	
[4/25/23 01:40PM] U used command ::Kills | Player rights = CLERIC_DONATOR	
[4/25/23 01:43PM] U used command ::Kills | Player rights = CLERIC_DONATOR	
[4/25/23 01:45PM] U used command ::npckills | Player rights = CLERIC_DONATOR	
[4/25/23 01:45PM] U used command ::kills | Player rights = CLERIC_DONATOR	
[4/25/23 01:49PM] U used command ::npckills | Player rights = CLERIC_DONATOR	
[4/25/23 01:49PM] U used command ::kills | Player rights = CLERIC_DONATOR	
[4/25/23 01:53PM] U used command ::instance | Player rights = CLERIC_DONATOR	
[4/25/23 01:54PM] U used command ::kills | Player rights = CLERIC_DONATOR	
