[4/16/23 08:41PM] Wizzy used command ::ref | Player rights = PLAYER	
[4/16/23 08:42PM] Wizzy used command ::ref | Player rights = PLAYER	
[4/16/23 08:44PM] Wizzy used command ::upgrade | Player rights = PLAYER	
[4/16/23 08:44PM] Wizzy used command ::upgrade | Player rights = PLAYER	
[4/16/23 08:44PM] Wizzy used command ::upgrade | Player rights = PLAYER	
[4/16/23 08:52PM] Wizzy used command ::veigar | Player rights = PLAYER	
[4/16/23 08:53PM] Wizzy used command ::veigar | Player rights = PLAYER	
[4/16/23 08:53PM] Wizzy used command ::veigar | Player rights = PLAYER	
[4/16/23 08:55PM] Wizzy used command ::starters | Player rights = PLAYER	
[4/16/23 08:55PM] Wizzy used command ::starter | Player rights = PLAYER	
[4/17/23 08:17AM] Wizzy used command ::ref | Player rights = PLAYER	
[4/17/23 08:19AM] Wizzy used command ::starter | Player rights = PLAYER	
[4/17/23 08:21AM] Wizzy used command ::pos | Player rights = PLAYER	
[4/17/23 08:23AM] Wizzy used command ::store | Player rights = PLAYER	
[4/17/23 08:32AM] Wizzy used command ::teleport | Player rights = PLAYER	
[4/17/23 08:39AM] Wizzy used command ::veigar | Player rights = PLAYER	
[4/17/23 08:41AM] Wizzy used command ::pos | Player rights = PLAYER	
[4/17/23 08:41AM] Wizzy used command ::home | Player rights = PLAYER	
[4/17/23 08:41AM] Wizzy used command ::pos | Player rights = PLAYER	
[4/17/23 08:43AM] Wizzy used command ::claim | Player rights = PLAYER	
[4/17/23 08:43AM] Wizzy used command ::claim | Player rights = PLAYER	
[4/17/23 08:48AM] Wizzy used command ::pos | Player rights = PLAYER	
[4/17/23 08:51AM] Wizzy used command ::starter | Player rights = PLAYER	
[4/17/23 08:53AM] Wizzy used command ::npckills | Player rights = PLAYER	
[4/17/23 08:53AM] Wizzy used command ::kc | Player rights = PLAYER	
[4/17/23 09:14AM] Wizzy used command ::collection | Player rights = PLAYER	
[4/17/23 09:14AM] Wizzy used command ::coll | Player rights = PLAYER	
[4/17/23 09:14AM] Wizzy used command ::home | Player rights = PLAYER	
[4/17/23 09:22AM] Wizzy used command ::collection | Player rights = PLAYER	
[4/17/23 09:24AM] Wizzy used command ::collection | Player rights = PLAYER	
[4/17/23 09:27AM] Wizzy used command ::collection | Player rights = PLAYER	
[4/17/23 09:27AM] Wizzy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:32AM] Wizzy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:33AM] Wizzy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:36AM] Wizzy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:50AM] Wizzy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:54AM] Wizzy used command ::yell buying coll neck!! | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:32AM] Wizzy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:47AM] Wizzy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:57AM] Wizzy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:42PM] Wizzy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:54PM] Wizzy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:55PM] Wizzy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:59PM] Wizzy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:24PM] Wizzy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:34PM] Wizzy used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:04PM] Wizzy used command ::store | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:05PM] Wizzy used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:05PM] Wizzy used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:05PM] Wizzy used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:05PM] Wizzy used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:06PM] Wizzy used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:11PM] Wizzy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:11PM] Wizzy used command ::store | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:12PM] Wizzy used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:12PM] Wizzy used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:21PM] Wizzy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:56PM] Wizzy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:56PM] Wizzy used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:01PM] Wizzy used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:02PM] Wizzy used command ::yell gzgzgzgz just wanna thank my haters | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:11PM] Wizzy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:23PM] Wizzy used command ::yell AOE giveaway at 30 viewers @ NobleDefeat on YT | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41PM] Wizzy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:54PM] Wizzy used command ::store | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:11PM] Wizzy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Wizzy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Wizzy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:27PM] Wizzy used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:39PM] Wizzy used command ::global | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:39PM] Wizzy used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:39PM] Wizzy used command ::merum | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:39PM] Wizzy used command ::muerem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:39PM] Wizzy used command ::murem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:39PM] Wizzy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:40PM] Wizzy used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:41PM] Wizzy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:41PM] Wizzy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Wizzy used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:52PM] Wizzy used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:55PM] Wizzy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:11PM] Wizzy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:29PM] Wizzy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:30PM] Wizzy used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:32PM] Wizzy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 05:35PM] Wizzy used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:41PM] Wizzy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:42PM] Wizzy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 05:42PM] Wizzy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:43PM] Wizzy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 05:47PM] Wizzy used command ::store | Player rights = CLERIC_DONATOR	
[4/18/23 05:48PM] Wizzy used command ::claim | Player rights = CLERIC_DONATOR	
[4/18/23 05:48PM] Wizzy used command ::claim | Player rights = CLERIC_DONATOR	
[4/18/23 05:48PM] Wizzy used command ::claim | Player rights = CLERIC_DONATOR	
[4/18/23 05:48PM] Wizzy used command ::claim | Player rights = CLERIC_DONATOR	
[4/18/23 05:48PM] Wizzy used command ::claim | Player rights = CLERIC_DONATOR	
[4/18/23 05:49PM] Wizzy used command ::store | Player rights = CLERIC_DONATOR	
[4/19/23 12:25PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:58PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:58PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:10PM] Wizzy used command ::store | Player rights = CLERIC_DONATOR	
[4/19/23 02:11PM] Wizzy used command ::claim | Player rights = CLERIC_DONATOR	
[4/19/23 02:11PM] Wizzy used command ::claim | Player rights = CLERIC_DONATOR	
[4/19/23 02:11PM] Wizzy used command ::claim | Player rights = CLERIC_DONATOR	
[4/19/23 02:13PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:13PM] Wizzy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:15PM] Wizzy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 02:15PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:16PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:17PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:17PM] Wizzy used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 02:18PM] Wizzy used command ::store | Player rights = CLERIC_DONATOR	
[4/19/23 02:23PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:26PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:27PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:28PM] Wizzy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 02:29PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:39PM] Wizzy used command ::Bank | Player rights = CLERIC_DONATOR	
[4/19/23 02:39PM] Wizzy used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 02:39PM] Wizzy used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:42PM] Wizzy used command ::wevent | Player rights = CLERIC_DONATOR	
[4/19/23 02:43PM] Wizzy used command ::yell wevent | Player rights = CLERIC_DONATOR	
[4/19/23 02:43PM] Wizzy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:44PM] Wizzy used command ::auth  | Player rights = CLERIC_DONATOR	
