[4/19/23 01:27AM] Zain used command ::::home | Player rights = PLAYER	
[4/19/23 01:27AM] Zain used command ::home | Player rights = PLAYER	
[4/19/23 01:29AM] Zain used command ::bank | Player rights = PLAYER	
[4/19/23 01:31AM] Zain used command ::benefits | Player rights = CLERIC_DONATOR	
[4/19/23 01:54AM] Zain used command ::starter | Player rights = TORMENTED_DONATOR	
[4/19/23 11:33PM] Zain used command ::ref fpk merk | Player rights = PLAYER	
[4/19/23 11:33PM] Zain used command ::ref fpk merk | Player rights = PLAYER	
[4/20/23 12:40AM] Zain used command ::slayer | Player rights = PLAYER	
[4/20/23 12:49AM] Zain used command ::veigar | Player rights = PLAYER	
[4/20/23 01:19AM] Zain used command ::veigar | Player rights = PLAYER	
[4/20/23 01:21AM] Zain used command ::ninetails | Player rights = PLAYER	
[4/20/23 01:44AM] Zain used command ::maxhit | Player rights = PLAYER	
[4/20/23 01:45AM] Zain used command ::maxhit | Player rights = PLAYER	
[4/20/23 01:49AM] Zain used command ::veigar | Player rights = PLAYER	
[4/20/23 01:49AM] Zain used command ::maxhit | Player rights = PLAYER	
[4/20/23 02:19AM] Zain used command ::veigar | Player rights = PLAYER	
[4/20/23 02:34AM] Zain used command ::vote | Player rights = PLAYER	
[4/20/23 02:37AM] Zain used command ::claimvotes | Player rights = PLAYER	
[4/20/23 02:37AM] Zain used command ::vote | Player rights = PLAYER	
[4/20/23 02:37AM] Zain used command ::claimvote | Player rights = PLAYER	
[4/20/23 02:37AM] Zain used command ::claimvote | Player rights = PLAYER	
[4/20/23 02:38AM] Zain used command ::claimvotes | Player rights = PLAYER	
[4/20/23 02:38AM] Zain used command ::claimvote | Player rights = PLAYER	
[4/20/23 02:38AM] Zain used command ::reward 1 | Player rights = PLAYER	
[4/20/23 02:38AM] Zain used command ::reward 2 | Player rights = PLAYER	
[4/20/23 02:38AM] Zain used command ::reward 3 | Player rights = PLAYER	
[4/20/23 02:38AM] Zain used command ::reward | Player rights = PLAYER	
[4/20/23 02:43AM] Zain used command ::maxhit | Player rights = PLAYER	
[4/20/23 02:47AM] Zain used command ::yolozone | Player rights = PLAYER	
[4/20/23 02:47AM] Zain used command ::yellowzone | Player rights = PLAYER	
[4/21/23 12:21AM] Zain used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:21AM] Zain used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:32AM] Zain used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:35AM] Zain used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:36AM] Zain used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:43AM] Zain used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:44AM] Zain used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:45AM] Zain used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:03AM] Zain used command ::::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:03AM] Zain used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:37AM] Zain used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:02AM] Zain used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:03AM] Zain used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 10:58PM] Zain used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/25/23 10:58PM] Zain used command ::youtueb | Player rights = GRACEFUL_DONATOR	
[4/25/23 10:58PM] Zain used command ::youtube | Player rights = GRACEFUL_DONATOR	
[4/25/23 11:03PM] Zain used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 11:03PM] Zain used command ::youtube | Player rights = GRACEFUL_DONATOR	
