[4/18/23 12:27PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/18/23 12:27PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/18/23 12:27PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/18/23 12:28PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/18/23 12:28PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/18/23 12:29PM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/18/23 12:29PM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/18/23 12:30PM] Player dropped item: Blurite Helm, id: 19984, amount: 1	
[4/18/23 12:30PM] Player dropped item: Blurite Legs, id: 19986, amount: 1	
[4/18/23 12:30PM] Player dropped item: Blurite Legs, id: 19986, amount: 1	
[4/18/23 12:34PM] Player dropped item: Blurite Katana, id: 14484, amount: 1	
[4/18/23 12:34PM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/18/23 12:34PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/18/23 12:35PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/18/23 12:35PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/18/23 12:44PM] Player dropped item: Blurite Boots, id: 19989, amount: 1	
[4/18/23 12:44PM] Player dropped item: Imperial gloves, id: 20091, amount: 1	
[4/18/23 12:45PM] Player dropped item: Blurite Amulet, id: 19991, amount: 1	
[4/18/23 12:46PM] Player dropped item: Imperial amulet, id: 20092, amount: 1	
[4/18/23 12:47PM] Player dropped item: Imperial gloves, id: 20091, amount: 1	
[4/18/23 12:47PM] Player dropped item: Imperial boots, id: 20089, amount: 1	
[4/18/23 12:47PM] Player dropped item: Imperial boots, id: 20089, amount: 1	
[4/18/23 12:47PM] Player dropped item: Imperial gloves, id: 20091, amount: 1	
[4/18/23 12:47PM] Player dropped item: Imperial gloves, id: 20091, amount: 1	
[4/18/23 12:49PM] Player dropped item: Blurite Ring, id: 19992, amount: 1	
[4/18/23 12:49PM] Player dropped item: Blurite Helm, id: 19984, amount: 1	
[4/18/23 12:49PM] Player dropped item: Blurite Gloves, id: 19988, amount: 1	
[4/18/23 12:49PM] Player dropped item: Blurite Body, id: 19985, amount: 1	
[4/18/23 12:50PM] Player dropped item: Blurite Cape, id: 20400, amount: 1	
[4/18/23 01:11PM] Player dropped item: Imperial helm, id: 20086, amount: 1	
[4/18/23 01:11PM] Player dropped item: Imperial body, id: 20087, amount: 1	
[4/18/23 01:13PM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/18/23 01:16PM] Player dropped item: Zinq helm, id: 23050, amount: 1	
[4/18/23 01:17PM] Player dropped item: Zinq body, id: 23051, amount: 1	
[4/18/23 01:17PM] Player dropped item: Zinq body, id: 23051, amount: 1	
[4/18/23 01:18PM] Player dropped item: Zinq shield, id: 23056, amount: 1	
[4/18/23 01:22PM] Player dropped item: Zinq legs, id: 23052, amount: 1	
[4/18/23 03:45PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/18/23 03:47PM] Player dropped item: Lust Staff, id: 8809, amount: 1	
[4/18/23 03:48PM] Player dropped item: Inferno Boots, id: 13305, amount: 1	
[4/18/23 03:49PM] Player dropped item: Inferno Boots, id: 13305, amount: 1	
[4/18/23 04:01PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/19/23 08:31AM] Player dropped item: Solar Staff, id: 22135, amount: 1	
[4/19/23 11:53AM] Player dropped item: Transfer Crystal, id: 8788, amount: 1	
[4/19/23 01:41PM] Player dropped item: Drop rate scroll, id: 23178, amount: 1	
[4/20/23 02:19AM] Player dropped item: Solar Staff, id: 22135, amount: 1	
[4/20/23 09:38AM] Player dropped item: Tarn token, id: 10835, amount: 22880866	
[4/21/23 01:21AM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 07:25AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 07:05AM] Player dropped item: Doom Aura, id: 12614, amount: 1	
[4/22/23 07:06AM] Player dropped item: Maze Maul, id: 17710, amount: 1	
[4/22/23 07:20AM] Player dropped item: Godly Helm, id: 14050, amount: 1	
[4/23/23 12:10PM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 12:11PM] Player dropped item: Vial, id: 229, amount: 1	
[4/24/23 06:25AM] Player dropped item: Vial, id: 229, amount: 1	
[4/24/23 06:25AM] Player dropped item: Vial, id: 229, amount: 1	
