[4/16/23 06:17AM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/16/23 06:17AM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/16/23 06:17AM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/16/23 06:17AM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/16/23 06:17AM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/16/23 06:17AM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/16/23 06:18AM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/16/23 06:18AM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/16/23 06:18AM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/16/23 06:18AM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/16/23 06:18AM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/25/23 08:01PM] Player dropped item: Clean Rosocely, id: 795, amount: 1	
[4/25/23 08:01PM] Player dropped item: Grapevine, id: 945, amount: 1	
[4/25/23 08:01PM] Player dropped item: Clean Verinise, id: 815, amount: 1	
[4/25/23 08:01PM] Player dropped item: Clean Fennel, id: 916, amount: 1	
[4/25/23 08:01PM] Player dropped item: Clean Marjoram, id: 925, amount: 1	
[4/25/23 08:03PM] Player dropped item: Grapevine, id: 945, amount: 1	
[4/25/23 08:03PM] Player dropped item: Clean Rosocely, id: 795, amount: 1	
[4/25/23 08:08PM] Player dropped item: Grapevine, id: 945, amount: 1	
[4/25/23 08:21PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/25/23 08:29PM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/25/23 08:36PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/25/23 08:46PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/25/23 08:53PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/25/23 08:55PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/25/23 08:59PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/25/23 09:02PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
