[4/16/23 07:07PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/16/23 07:07PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/16/23 07:07PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/16/23 07:07PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/16/23 07:08PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/16/23 07:36PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/16/23 07:36PM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/16/23 07:36PM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/16/23 07:36PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/16/23 08:02PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/17/23 09:37AM] Player dropped item: Vial, id: 229, amount: 1	
[4/17/23 09:37AM] Player dropped item: Vial, id: 229, amount: 1	
[4/17/23 09:37AM] Player dropped item: Vial, id: 229, amount: 1	
[4/17/23 01:18PM] Player dropped item: Aberrant Legs, id: 20594, amount: 1	
