[4/15/23 07:04AM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/15/23 07:04AM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/15/23 07:04AM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/15/23 07:05AM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/15/23 07:08AM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/15/23 07:08AM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/15/23 07:08AM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/15/23 07:13AM] Player dropped item: Blurite Helm, id: 19984, amount: 1	
[4/15/23 07:14AM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/15/23 07:14AM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/15/23 07:28AM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/15/23 07:55AM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/15/23 07:55AM] Player dropped item: Imperial legs, id: 20088, amount: 1	
[4/15/23 10:03AM] Player dropped item: Sinful Gloves, id: 12864, amount: 1	
[4/18/23 12:35PM] Player dropped item: Vial, id: 229, amount: 1	
