[4/22/23 12:53AM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/22/23 02:01AM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/22/23 02:32AM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/22/23 03:55AM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/22/23 05:07AM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/22/23 05:10AM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/22/23 05:17AM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/23/23 12:06PM] Player received drop: x2 $25 Bond, id: 23058, amount: 2, from: Meruem The King	
[4/26/23 08:32AM] Player received drop: x1 Demonlord Boots, id: 14180, amount: 1, from: Ag'Thomoth	
[4/26/23 09:40AM] Player received drop: x1 Lili Body, id: 22137, amount: 1, from: Lilinryss	
[4/26/23 09:45AM] Player received drop: x1 Groudon Aura, id: 15448, amount: 1, from: Groudon	
[4/26/23 11:01AM] Player received drop: x1 Agumon Gloves, id: 22159, amount: 1, from: Agumon	
[4/26/23 11:19AM] Player received drop: x1 Agumon Boots, id: 22158, amount: 1, from: Agumon	
[4/26/23 12:10PM] Player received drop: x1 White Wand, id: 22167, amount: 1, from: White Beard	
[4/26/23 12:20PM] Player received drop: x1 White Helm, id: 22163, amount: 1, from: White Beard	
[4/27/23 04:54AM] Player received drop: x1 Soldier Body, id: 23076, amount: 1, from: Panther	
[4/27/23 04:58AM] Player received drop: x1 Soldier Sword Off-Hand, id: 23080, amount: 1, from: Panther	
[4/27/23 06:37AM] Player received drop: x1 Soldier Sword Off-Hand, id: 23080, amount: 1, from: Panther	
[4/27/23 06:50AM] Player received drop: x1 Soldier Sword Off-Hand, id: 23080, amount: 1, from: Panther	
[4/27/23 09:06AM] Player received drop: x1 Trinity prayer scroll, id: 23166, amount: 1, from: Final Boss Veigar	
[4/27/23 09:17AM] Player received drop: x1 Soldier Legs, id: 23077, amount: 1, from: Panther	
[4/27/23 10:13AM] Player received drop: x1 Soldier Lance, id: 5730, amount: 1, from: Panther	
[4/27/23 10:45AM] Player received drop: x1 Soldier Sword Off-Hand, id: 23080, amount: 1, from: Panther	
[4/27/23 11:40AM] Player received drop: x1 Panther Pet, id: 20583, amount: 1, from: Panther	
[4/27/23 01:40PM] Player received drop: x1 Soldier Legs, id: 23077, amount: 1, from: Panther	
[4/27/23 09:16PM] Player received drop: x1 Soldier Sword Off-Hand, id: 23080, amount: 1, from: Panther	
[4/27/23 09:32PM] Player received drop: x1 Soldier Sword, id: 23079, amount: 1, from: Panther	
[4/27/23 10:01PM] Player received drop: x1 Soldier Sword Off-Hand, id: 23080, amount: 1, from: Panther	
[4/27/23 10:01PM] Player received drop: x1 Soldier Helm, id: 23075, amount: 1, from: Panther	
[4/27/23 10:07PM] Player received drop: x1 Soldier Helm, id: 23075, amount: 1, from: Panther	
