[4/20/23 05:51AM] Login. ip: 181.208.49.71, mac: 2UA1070QQ020221013164441.000000-240, uuid: 64-31-50-3D-F3-48	
[4/20/23 05:52AM] PROGRESSION_ZONES|3037,10280,0|Said: Hi	
[4/20/23 05:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:52AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:53AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:53AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:53AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:53AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:53AM] DEFAULT|2223,3746,0|Said: Hi	
[4/20/23 05:54AM] DEFAULT|2223,3746,0|Said: :d	
[4/20/23 05:54AM] (CC) Help. Said: Hi	
[4/20/23 05:55AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:55AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:55AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:55AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:56AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:56AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:56AM] (CC) Help. Said: Hi i new in game:d	
[4/20/23 05:58AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:58AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:00AM] (CC) Help. Said: Pls 1 sword good:c	
[4/20/23 06:00AM] (CC) Help. Said: Goodmorning	
[4/20/23 06:01AM] (CC) Help. Said: Pls 1 sword	
[4/20/23 06:01AM] DEFAULT|2220,3759,0|Said: Pls 1 sword	
[4/20/23 06:01AM] DEFAULT|2220,3759,0|Said: ;_;	
[4/20/23 06:02AM] (CC) Help. Said: Pls 1 sword	
[4/20/23 06:02AM] DEFAULT|2221,3759,0|Said: Pls 1 sword or bow	
[4/20/23 06:04AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:04AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:04AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:05AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:05AM] Picked up gr.Item Blurite Legs, amount: 1	
[4/20/23 06:05AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:05AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:05AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:05AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:05AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:05AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:05AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:06AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:06AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:06AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:06AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:06AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:06AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:06AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:07AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:07AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:07AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:07AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:07AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:07AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:07AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:08AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 06:08AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 06:08AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 06:08AM] Picked up gr.Item Lava bones, amount: 1	
