[4/19/23 12:10PM] Login. ip: 92.10.59.124, mac: 20221202151641.000000+000, uuid: 40-B0-76-61-09-BF	
[4/19/23 12:16PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 12:16PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 12:16PM] Has just redeemed a $1 Scroll successfully!	
[4/19/23 12:16PM] Picked up gr.Item Vial, amount: 1	
[4/19/23 12:16PM] Picked up gr.Item Lava bones, amount: 50	
[4/19/23 12:16PM] Player dropping item: Vial, amount: 1	
[4/19/23 12:18PM] Picked up gr.Item Lava bones, amount: 100	
[4/19/23 12:18PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/19/23 12:18PM] Picked up gr.Item Lava bones, amount: 300	
[4/19/23 12:18PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/19/23 12:19PM] Has just redeemed a $1 Scroll successfully!	
[4/19/23 12:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:26PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:26PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:26PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:26PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:26PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:26PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:26PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:26PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:27PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:27PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:27PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:27PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:27PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:27PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:27PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:27PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:27PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:27PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:27PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:27PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:27PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:27PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:27PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:27PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:27PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:28PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:28PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:28PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 12:28PM] Picked up gr.Item Lava bones, amount: 1	
