[4/15/23 06:45AM] Login. ip: 216.218.112.168, mac: K2003N003141120210422114824.000000-300, uuid: 00-D8-61-E3-4F-32	
[4/15/23 07:09AM] Login. ip: 216.218.112.168, mac: K2003N003141120210422114824.000000-300, uuid: 00-D8-61-E3-4F-32	
[4/15/23 07:11AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:13AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 07:13AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 07:14AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 07:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:15AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 07:15AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:15AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 07:16AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:17AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 07:17AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:25AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:33AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 07:33AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 07:34AM] Player dropping item: Fury shark, amount: 1	
[4/15/23 07:34AM] Picked up gr.Item Fury shark, amount: 1	
[4/15/23 07:35AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 07:35AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 07:35AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 07:35AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 07:37AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 07:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:38AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 07:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:39AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 07:39AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 07:39AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 07:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:40AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 07:40AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:40AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 07:40AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:42AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 07:42AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 07:43AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 07:43AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 07:43AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 07:43AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:44AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 07:45AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 07:45AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:45AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 07:45AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 07:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:46AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 07:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:46AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 07:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 07:47AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:32AM] Login. ip: 216.218.112.168, mac: K2003N003141120210422114824.000000-300, uuid: 00-D8-61-E3-4F-32	
[4/15/23 10:33AM] Login. ip: 216.218.112.168, mac: K2003N003141120210422114824.000000-300, uuid: 00-D8-61-E3-4F-32	
[4/15/23 10:34AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 10:35AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 10:35AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:36AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:36AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:37AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:37AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 10:37AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 10:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 10:38AM] Picked up gr.Item Lava bones, amount: 2	
