[4/15/23 02:35PM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/15/23 02:39PM] Picked up gr.Item EXP Potion (Divine), amount: 1	
[4/15/23 02:39PM] Picked up gr.Item DMG Potion (Mortal), amount: 1	
[4/15/23 02:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:41PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 02:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:41PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 02:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:42PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 02:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:42PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 02:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:42PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 02:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:42PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 02:42PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:42PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 02:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:42PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 02:42PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:42PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 02:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:42PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 02:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:43PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:43PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:43PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:43PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:43PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:43PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:43PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:44PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:45PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:45PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:51PM] (CC) Help. Said: Np 	
[4/15/23 02:52PM] Picked up gr.Item Blurite Helm, amount: 1	
[4/15/23 02:52PM] Picked up gr.Item Blurite Helm, amount: 1	
[4/15/23 02:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:53PM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 02:54PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:54PM] Picked up gr.Item Lava bones, amount: 5	
[4/15/23 02:54PM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 02:54PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:54PM] Picked up gr.Item Blurite Box, amount: 1	
[4/15/23 02:54PM] Picked up gr.Item Blurite Box, amount: 1	
[4/15/23 02:54PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 02:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:54PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:54PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:54PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:55PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:55PM] Picked up gr.Item Lava bones, amount: 5	
[4/15/23 02:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:56PM] Picked up gr.Item Lava bones, amount: 6	
[4/15/23 02:56PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 02:56PM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 02:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 02:57PM] Player dropping item: Super restore (4), amount: 1	
[4/15/23 02:57PM] Player dropping item: Super restore (4), amount: 1	
[4/15/23 02:57PM] Player dropping item: Super restore (4), amount: 1	
[4/15/23 03:00PM] Picked up gr.Item Coin, amount: 1705937	
[4/15/23 03:00PM] Picked up gr.Item Lava bones, amount: 25	
[4/15/23 03:02PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/15/23 03:03PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 03:03PM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 03:05PM] Picked up gr.Item Coin, amount: 500	
[4/15/23 03:05PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:07PM] Picked up gr.Item Imperial Box, amount: 1	
[4/15/23 03:07PM] Picked up gr.Item Imperial Box, amount: 1	
[4/15/23 03:07PM] Player dropping item: Imperial Minigun, amount: 1	
[4/15/23 03:07PM] Picked up gr.Item Imperial Minigun, amount: 1	
[4/15/23 03:10PM] Picked up gr.Item Imperial boots, amount: 1	
[4/15/23 03:10PM] Picked up gr.Item Imperial helm, amount: 1	
[4/15/23 03:10PM] Picked up gr.Item Imperial helm, amount: 1	
[4/15/23 03:13PM] Player dropping item: Vial, amount: 1	
[4/15/23 03:18PM] Picked up gr.Item Coin, amount: 4000	
[4/15/23 03:28PM] Picked up gr.Item Zinq body, amount: 1	
[4/15/23 03:29PM] TRAININZONEMULTI|2513,2530,4|Said: ""ape	
[4/15/23 03:30PM] Player dropping item: Vial, amount: 1	
[4/15/23 03:31PM] Picked up gr.Item Coin, amount: 1627366	
[4/15/23 03:31PM] Picked up gr.Item Lava bones, amount: 25	
[4/15/23 03:32PM] Player dropping item: Vial, amount: 1	
[4/15/23 03:33PM] Picked up gr.Item Lava bones, amount: 80	
[4/15/23 03:34PM] Player dropping item: Vial, amount: 1	
[4/15/23 03:36PM] Picked up gr.Item Lava bones, amount: 300	
[4/15/23 03:36PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/15/23 03:36PM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 03:36PM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 03:39PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/15/23 03:39PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/15/23 03:40PM] Picked up gr.Item Imperial ring, amount: 1	
[4/15/23 03:40PM] Picked up gr.Item Imperial ring, amount: 1	
[4/15/23 03:40PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 03:42PM] Player dropping item: Vial, amount: 1	
[4/15/23 03:47PM] Picked up gr.Item Imperial amulet, amount: 1	
[4/15/23 03:47PM] Picked up gr.Item Coin, amount: 4800	
[4/15/23 03:49PM] Picked up gr.Item Imperial amulet, amount: 1	
[4/15/23 03:51PM] Picked up gr.Item Imperial boots, amount: 1	
[4/15/23 03:51PM] Player dropping item: Vial, amount: 1	
[4/15/23 03:51PM] Player dropping item: Clean Rexeth, amount: 1	
[4/15/23 03:52PM] Picked up gr.Item Clean Rexeth, amount: 1	
[4/15/23 03:53PM] Picked up gr.Item Coin, amount: 2000	
[4/15/23 03:53PM] Picked up gr.Item Revenant Legs, amount: 1	
[4/15/23 03:54PM] Picked up gr.Item Revenant Wings, amount: 1	
[4/15/23 03:55PM] Player dropping item: Vial, amount: 1	
[4/15/23 03:58PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/15/23 03:58PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/15/23 03:59PM] Player dropping item: Vial, amount: 1	
[4/15/23 04:00PM] Picked up gr.Item Zinq body, amount: 1	
[4/15/23 04:00PM] Picked up gr.Item Zinq body, amount: 1	
[4/15/23 04:00PM] Picked up gr.Item Zinq sword, amount: 1	
[4/15/23 04:01PM] Picked up gr.Item Coin, amount: 2000	
[4/15/23 04:07PM] Picked up gr.Item Coin, amount: 2000	
[4/15/23 04:07PM] Picked up gr.Item Coin, amount: 12000	
[4/15/23 04:07PM] Picked up gr.Item Zinq legs, amount: 1	
[4/15/23 04:08PM] Player dropping item: Vial, amount: 1	
[4/15/23 04:08PM] Picked up gr.Item Coin, amount: 2000	
[4/15/23 04:09PM] Picked up gr.Item Coin, amount: 4000	
[4/15/23 04:11PM] Picked up gr.Item Zinq shield, amount: 1	
[4/15/23 04:12PM] Player dropping item: Vial, amount: 1	
[4/15/23 04:13PM] Player dropping item: Imperial Minigun, amount: 1	
[4/15/23 04:13PM] Picked up gr.Item Coin, amount: 6000	
[4/15/23 04:13PM] Picked up gr.Item Imperial Minigun, amount: 1	
[4/15/23 04:15PM] Picked up gr.Item Coin, amount: 4000	
[4/15/23 04:17PM] Player dropping item: Vial, amount: 1	
[4/15/23 04:18PM] Picked up gr.Item Coin, amount: 2000	
[4/15/23 04:18PM] Picked up gr.Item Zinq sword, amount: 1	
[4/15/23 04:19PM] Picked up gr.Item Coin, amount: 2000	
[4/15/23 04:19PM] Player dropping item: Vial, amount: 1	
[4/15/23 04:20PM] Picked up gr.Item Zinq body, amount: 1	
[4/15/23 04:20PM] Picked up gr.Item Coin, amount: 6000	
[4/15/23 04:22PM] Picked up gr.Item Zinq boots, amount: 1	
[4/15/23 04:22PM] Picked up gr.Item Zinq boots, amount: 1	
[4/15/23 04:22PM] Player dropping item: Vial, amount: 1	
[4/15/23 04:22PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:23PM] Picked up gr.Item Coin, amount: 2000	
[4/15/23 04:24PM] Picked up gr.Item Coin, amount: 2000	
[4/15/23 04:27PM] Player dropping item: Vial, amount: 1	
[4/15/23 04:28PM] Player dropping item: Clean Cardamon, amount: 1	
[4/15/23 04:28PM] Picked up gr.Item Clean Cardamon, amount: 1	
[4/15/23 04:35PM] Player dropping item: Vial, amount: 1	
[4/15/23 04:41PM] Player dropping item: Vial, amount: 1	
[4/15/23 04:48PM] Player dropping item: Vial, amount: 1	
[4/15/23 04:55PM] Player dropping item: Vial, amount: 1	
[4/15/23 05:01PM] Player dropping item: Vial, amount: 1	
[4/15/23 05:06PM] Player dropping item: Vial, amount: 1	
[4/15/23 05:39PM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/15/23 05:40PM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/15/23 05:42PM] Player dropping item: Vial, amount: 1	
[4/15/23 05:51PM] (CC) Help. Said: We out here	
[4/15/23 05:53PM] Player dropping item: Vial, amount: 1	
[4/15/23 06:01PM] Player dropping item: Vial, amount: 1	
[4/15/23 06:03PM] Has just redeemed a Donator rank ticket successfully!	
[4/15/23 06:04PM] Player dropping item: Imperial Minigun, amount: 1	
[4/15/23 06:16PM] Player dropping item: Vial, amount: 1	
[4/15/23 06:32PM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 06:34PM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 06:34PM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 06:34PM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 06:34PM] Has just redeemed a $1 Scroll successfully!	
[4/15/23 06:48PM] Player dropping item: Vial, amount: 1	
[4/22/23 09:21PM] Login. ip: 98.56.86.198, mac: 25FJ9N220221215185414.000000-300, uuid: 5E-EA-1D-6E-B1-A7	
[4/22/23 09:38PM] Player dropping item: Vial, amount: 1	
