[4/20/23 10:33AM] Login. ip: 142.105.222.189, mac: Default string20230128010143.000000-300, uuid: 00-50-56-C0-00-01	
[4/20/23 10:35AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 10:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:36AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:36AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:36AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:36AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 10:36AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:36AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 10:36AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:36AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 10:36AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:37AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 10:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:37AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 10:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:37AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 10:37AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:38AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 10:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:38AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 10:38AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:38AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 10:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:38AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:38AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:39AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:39AM] Picked up gr.Item Blurite Legs, amount: 1	
[4/20/23 10:39AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 10:39AM] Picked up gr.Item Lava bones, amount: 4	
[4/20/23 10:39AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 10:39AM] Picked up gr.Item Lava bones, amount: 4	
[4/20/23 10:40AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 10:40AM] Picked up gr.Item Lava bones, amount: 3	
[4/20/23 10:40AM] Picked up gr.Item Coin, amount: 400	
[4/20/23 10:40AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:40AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:40AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 10:40AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 10:41AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 10:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:41AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:41AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 10:41AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:41AM] Picked up gr.Item Coin, amount: 600	
[4/20/23 10:41AM] Picked up gr.Item Lava bones, amount: 3	
[4/20/23 10:42AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 10:42AM] Picked up gr.Item Lava bones, amount: 3	
[4/20/23 10:42AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:42AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:43AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 10:43AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 10:43AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:43AM] Picked up gr.Item Lava bones, amount: 5	
[4/20/23 10:43AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 10:43AM] Picked up gr.Item Coin, amount: 900	
[4/20/23 10:43AM] Picked up gr.Item Lava bones, amount: 3	
[4/20/23 10:43AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:44AM] Picked up gr.Item Coin, amount: 300	
[4/20/23 10:44AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:44AM] Player dropping item: Starter Cape, amount: 1	
[4/20/23 10:44AM] Player dropping item: Starter Legs, amount: 1	
[4/20/23 10:44AM] Player dropping item: Starter Gloves, amount: 1	
[4/20/23 10:44AM] Player dropping item: Starter Ring, amount: 1	
[4/20/23 10:44AM] Player dropping item: Starter Amulet, amount: 1	
[4/20/23 10:45AM] Picked up gr.Item Coin, amount: 400	
[4/20/23 10:45AM] Player dropping item: Starter Helm, amount: 1	
[4/20/23 10:45AM] Player dropping item: Starter Body, amount: 1	
[4/20/23 10:45AM] Player dropping item: Starter Cannon, amount: 1	
[4/20/23 10:45AM] Player dropping item: Starter Boots, amount: 1	
[4/20/23 10:45AM] Player dropping item: Starter Blade, amount: 1	
[4/20/23 10:45AM] Player dropping item: Starter Defender, amount: 1	
[4/20/23 10:46AM] Picked up gr.Item Lava bones, amount: 6	
[4/20/23 10:46AM] Picked up gr.Item Coin, amount: 400	
[4/20/23 10:46AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 10:46AM] Picked up gr.Item Lava bones, amount: 1	
