[4/19/23 02:26PM] Login. ip: 149.167.131.115, mac: To be filled by O.E.M.20220306113632.000000+660, uuid: 94-DE-80-A2-27-C9	
[4/19/23 02:28PM] (CC) Help. Said: Yo	
[4/19/23 02:29PM] (CC) Help. Said: Any starter codes or stuff like that?	
[4/19/23 02:29PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 02:29PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 02:30PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 02:30PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 02:32PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 02:32PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 02:32PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 02:32PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 02:32PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 02:32PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 02:32PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 02:32PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 02:34PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 02:34PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 02:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 02:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 02:34PM] PROGRESSION_ZONES|3030,10274,0|Said: :train	
[4/19/23 02:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 02:35PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 02:35PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 02:36PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 02:36PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 02:37PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 02:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 02:37PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 02:37PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 02:37PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 02:37PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 02:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 02:37PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 02:37PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 02:41PM] Picked up gr.Item Coin, amount: 1800	
[4/19/23 02:41PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/19/23 02:42PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 02:43PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 02:45PM] GLOBAL_BOSS|2142,5018,8|Said: Nothing	
[4/19/23 02:46PM] Picked up gr.Item Coin, amount: 1695046	
[4/19/23 02:46PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 12:16PM] Login. ip: 149.167.131.115, mac: To be filled by O.E.M.20220306113632.000000+660, uuid: 94-DE-80-A2-27-C9	
