[4/18/23 01:25PM] Login. ip: 16.170.213.140, mac: ec2fe6e3-de8f-0144-72b1-0379e5fbcc2820230414082258.000000+000, uuid: 0E-60-42-25-27-A4	
[4/18/23 01:28PM] Player dropping item: Starter Defender, amount: 1	
[4/18/23 01:28PM] Player dropping item: Starter Staff, amount: 1	
[4/18/23 01:28PM] Player dropping item: Starter Cannon, amount: 1	
[4/18/23 01:42PM] Picked up gr.Item Lava bones, amount: 300	
[4/18/23 01:42PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/18/23 01:42PM] Picked up gr.Item Lava bones, amount: 160	
[4/18/23 01:43PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 07:14AM] Login. ip: 16.170.213.140, mac: ec2fe6e3-de8f-0144-72b1-0379e5fbcc2820230414082258.000000+000, uuid: 0E-60-42-25-27-A4	
[4/19/23 07:23AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 07:23AM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 07:25AM] Picked up gr.Item Coin, amount: 2481798	
[4/19/23 07:25AM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 07:27AM] Picked up gr.Item Coin, amount: 2686529	
[4/19/23 07:27AM] Picked up gr.Item Lava bones, amount: 40	
[4/19/23 07:46AM] Login. ip: 16.170.213.140, mac: ec2fe6e3-de8f-0144-72b1-0379e5fbcc2820230414082258.000000+000, uuid: 0E-60-42-25-27-A4	
[4/19/23 07:48AM] Picked up gr.Item Coin, amount: 1365715	
[4/19/23 07:48AM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 08:17AM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 08:29AM] Gave item in trade to Ishine. Id: 5020, amount: 247740	
[4/19/23 08:29AM] Gave item in trade to Ishine. Id: 23020, amount: 11	
[4/19/23 08:29AM] Gave item in trade to Ishine. Id: 10946, amount: 7	
[4/19/23 08:29AM] Gave item in trade to Ishine. Id: 3086, amount: 1	
[4/19/23 08:29AM] Gave item in trade to Ishine. Id: 3090, amount: 1	
[4/19/23 08:29AM] Gave item in trade to Ishine. Id: 1033, amount: 1	
[4/19/23 08:29AM] Gave item in trade to Ishine. Id: 15358, amount: 1	
[4/19/23 08:29AM] Gave item in trade to Ishine. Id: 15359, amount: 1	
[4/19/23 08:47AM] Picked up gr.Item Coin, amount: 1273281	
[4/19/23 08:49AM] Picked up gr.Item Coin, amount: 3311586	
[4/19/23 08:49AM] Picked up gr.Item Lava bones, amount: 40	
[4/19/23 10:40AM] Login. ip: 16.170.213.140, mac: ec2fe6e3-de8f-0144-72b1-0379e5fbcc2820230414082258.000000+000, uuid: 0E-60-42-25-27-A4	
[4/19/23 10:45AM] Picked up gr.Item Coin, amount: 1903154	
[4/19/23 10:45AM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 11:15AM] Picked up gr.Item Coin, amount: 1265975	
[4/19/23 11:15AM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 11:16AM] Picked up gr.Item Coin, amount: 2947851	
[4/19/23 11:16AM] Picked up gr.Item Lava bones, amount: 40	
[4/19/23 11:17AM] Picked up gr.Item Lava bones, amount: 100	
[4/19/23 11:17AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/19/23 11:21AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 11:21AM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 11:29AM] Gave item in trade to Ishine. Id: 23020, amount: 3	
[4/19/23 11:29AM] Gave item in trade to Ishine. Id: 10946, amount: 6	
[4/19/23 11:29AM] Gave item in trade to Ishine. Id: 995, amount: 26878760	
[4/19/23 11:43AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 11:43AM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 11:44AM] Picked up gr.Item Coin, amount: 1884431	
[4/19/23 11:44AM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 11:45AM] Picked up gr.Item Coin, amount: 4223870	
[4/19/23 11:46AM] Picked up gr.Item Lava bones, amount: 100	
[4/19/23 11:46AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/19/23 11:47AM] Picked up gr.Item Lava bones, amount: 300	
[4/19/23 11:47AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/19/23 12:15PM] Picked up gr.Item Coin, amount: 2219933	
[4/19/23 12:16PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 12:16PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 12:17PM] Picked up gr.Item Coin, amount: 2520843	
[4/19/23 12:18PM] Picked up gr.Item Lava bones, amount: 200	
[4/19/23 12:18PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/19/23 12:19PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/19/23 12:45PM] Picked up gr.Item Coin, amount: 1313887	
[4/19/23 12:45PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 12:46PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 12:46PM] Picked up gr.Item Vote scroll, amount: 6	
[4/19/23 01:15PM] Picked up gr.Item Coin, amount: 2093060	
[4/19/23 01:15PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 01:15PM] Picked up gr.Item Infinite prayer potion (T3), amount: 1	
[4/19/23 01:15PM] Picked up gr.Item Coin, amount: 3050751	
[4/19/23 01:16PM] Picked up gr.Item Lava bones, amount: 40	
[4/19/23 01:17PM] Picked up gr.Item Lava bones, amount: 100	
[4/19/23 01:17PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/19/23 01:20PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 01:20PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 01:21PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 01:21PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 01:23PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 01:23PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 01:25PM] Gave item in trade to Ishine. Id: 10946, amount: 37	
[4/19/23 01:25PM] Gave item in trade to Ishine. Id: 23020, amount: 21	
[4/19/23 01:25PM] Gave item in trade to Ishine. Id: 995, amount: 17306775	
[4/19/23 01:25PM] Gave item in trade to Ishine. Id: 23123, amount: 1	
[4/19/23 01:25PM] Gave item in trade to Ishine. Id: 2023, amount: 1645	
[4/20/23 07:27AM] Login. ip: 16.170.213.140, mac: ec2fe6e3-de8f-0144-72b1-0379e5fbcc2820230414082258.000000+000, uuid: 0E-60-42-25-27-A4	
[4/20/23 07:36AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 07:36AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 07:51AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 08:21AM] Picked up gr.Item Coin, amount: 1631098	
[4/20/23 08:21AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 08:23AM] Picked up gr.Item Coin, amount: 3292759	
[4/20/23 08:23AM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 08:51AM] Picked up gr.Item Coin, amount: 1615835	
[4/20/23 09:21AM] Picked up gr.Item Coin, amount: 1004025	
[4/20/23 09:21AM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 09:22AM] Picked up gr.Item Coin, amount: 3366513	
[4/20/23 09:22AM] Picked up gr.Item Lava bones, amount: 80	
[4/20/23 09:23AM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 09:23AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/20/23 09:24AM] Picked up gr.Item Lava bones, amount: 600	
[4/20/23 09:24AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/20/23 09:25AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 09:26AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 09:27AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/20/23 09:27AM] Picked up gr.Item Vote scroll, amount: 3	
[4/20/23 09:30AM] Gave item in trade to Ishine. Id: 5020, amount: 326300	
[4/20/23 09:30AM] Gave item in trade to Ishine. Id: 10946, amount: 18	
[4/20/23 09:30AM] Gave item in trade to Ishine. Id: 23020, amount: 12	
[4/20/23 09:51AM] Picked up gr.Item Coin, amount: 1640517	
