[4/20/23 01:52PM] Login. ip: 79.251.19.54, mac: 20230223005419.000000+060, uuid: B0-A7-B9-A7-95-20	
[4/25/23 06:30PM] Login. ip: 84.151.148.24, mac: 20230223005419.000000+060, uuid: B0-A7-B9-A7-95-20	
[4/25/23 06:32PM] Picked up gr.Item Coin, amount: 900	
[4/25/23 06:32PM] Picked up gr.Item Lava bones, amount: 9	
[4/25/23 06:33PM] Picked up gr.Item Coin, amount: 100	
[4/25/23 06:33PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:33PM] Player dropping item: Starter Helm, amount: 1	
[4/25/23 06:33PM] Player dropping item: Starter Helm, amount: 1	
[4/25/23 06:33PM] Player dropping item: Starter Body, amount: 1	
[4/25/23 06:33PM] Player dropping item: Starter Legs, amount: 1	
[4/25/23 06:33PM] Has just redeemed a $1 Scroll successfully!	
[4/25/23 06:34PM] Picked up gr.Item Coin, amount: 800	
[4/25/23 06:34PM] Picked up gr.Item Lava bones, amount: 4	
[4/25/23 06:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:35PM] Picked up gr.Item Coin, amount: 200	
[4/25/23 06:35PM] Picked up gr.Item Coin, amount: 200	
[4/25/23 06:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:35PM] Picked up gr.Item Coin, amount: 200	
[4/25/23 06:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:35PM] Picked up gr.Item Coin, amount: 200	
[4/25/23 06:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:35PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/25/23 06:36PM] Picked up gr.Item Coin, amount: 400	
[4/25/23 06:36PM] Picked up gr.Item Lava bones, amount: 2	
[4/25/23 06:36PM] Picked up gr.Item Coin, amount: 200	
[4/25/23 06:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:36PM] Picked up gr.Item Coin, amount: 200	
[4/25/23 06:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:36PM] Picked up gr.Item Coin, amount: 200	
[4/25/23 06:36PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/25/23 06:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:36PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/25/23 06:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/25/23 06:36PM] Picked up gr.Item Coin, amount: 200	
[4/25/23 06:36PM] Picked up gr.Item Coin, amount: 400	
