[4/22/23 09:04PM] Login. ip: 42.60.77.72, mac: 20200916005640.000000+480, uuid: 52-3E-AA-29-A6-90	
[4/22/23 09:04PM] (CC) Help. Said: Thx	
[4/23/23 12:46AM] Login. ip: 42.60.77.72, mac: 20200916005640.000000+480, uuid: 52-3E-AA-29-A6-90	
[4/23/23 12:47AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 12:55AM] Receiving item from trade with Icy Id: 23020, amount: 97	
[4/23/23 12:57AM] Gave item in trade to Icy. Id: 23058, amount: 3	
[4/23/23 12:57AM] Gave item in trade to Icy. Id: 23057, amount: 2	
[4/23/23 08:17AM] Login. ip: 42.60.77.72, mac: 20200916005640.000000+480, uuid: 52-3E-AA-29-A6-90	
[4/23/23 08:17AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:17AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:17AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:17AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:17AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:17AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:17AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:17AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:17AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:18AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:18AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:18AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:18AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:18AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:18AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:18AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:18AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:18AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 08:18AM] Gave item in trade to Icy. Id: 8788, amount: 1	
[4/23/23 11:00AM] Login. ip: 42.60.77.72, mac: 20200916005640.000000+480, uuid: 52-3E-AA-29-A6-90	
