[4/19/23 11:55AM] Login. ip: 66.177.87.6, mac: BZ4KS9320230222005748.000000-300, uuid: E0-D4-64-60-71-89	
[4/19/23 11:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:02PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:02PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:02PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 12:03PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:03PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:03PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 12:03PM] Picked up gr.Item Blurite Body, amount: 1	
[4/19/23 12:08PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 12:08PM] Picked up gr.Item Lava bones, amount: 4	
[4/19/23 12:08PM] Picked up gr.Item Lava bones, amount: 4	
[4/19/23 12:08PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 12:09PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 12:10PM] Picked up gr.Item Coin, amount: 500	
[4/19/23 12:10PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 12:12PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 12:12PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 12:15PM] Picked up gr.Item Coin, amount: 1698179	
[4/19/23 12:15PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 12:15PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 12:15PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 12:17PM] Picked up gr.Item Coin, amount: 4012513	
[4/19/23 12:17PM] Picked up gr.Item Lava bones, amount: 40	
[4/19/23 12:18PM] Picked up gr.Item Lava bones, amount: 100	
[4/19/23 12:18PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/19/23 12:18PM] Picked up gr.Item Lava bones, amount: 300	
[4/19/23 12:18PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/19/23 12:20PM] Has just redeemed a $1 Scroll successfully!	
[4/19/23 12:45PM] Picked up gr.Item Coin, amount: 2340295	
[4/19/23 12:45PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 12:46PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 12:46PM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 12:46PM] Has just redeemed a $1 Scroll successfully!	
[4/19/23 01:15PM] Login. ip: 66.177.87.6, mac: BZ4KS9320230222005748.000000-300, uuid: E0-D4-64-60-71-89	
