[4/15/23 12:44AM] Login. ip: 151.210.244.99, mac: MCNRCX05M06451520230128122925.000000+780, uuid: 14-13-33-0B-67-55	
[4/15/23 12:44AM] PROGRESSION_ZONES|3037,10280,0|Said: Yoo	
[4/15/23 12:45AM] Has just redeemed a $10 Bond successfully!	
[4/15/23 12:45AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 12:46AM] PROGRESSION_ZONES|3037,10280,0|Said: I got 10$ bond from box	
[4/15/23 12:46AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 12:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 12:47AM] PROGRESSION_ZONES|3035,10277,0|Said: Do ::refer walkchaos	
[4/15/23 12:47AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 12:47AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 12:47AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 12:47AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 12:47AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 12:47AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 12:49AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 12:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 12:49AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 12:49AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 12:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 12:50AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 12:50AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 12:50AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 12:50AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 12:50AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 12:51AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 12:51AM] Picked up gr.Item Blurite Body, amount: 1	
[4/15/23 12:51AM] Picked up gr.Item Blurite Body, amount: 1	
[4/15/23 12:51AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 12:51AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 12:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 12:51AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 12:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 12:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 12:51AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 12:51AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 12:52AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 12:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 12:52AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 12:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 12:52AM] Picked up gr.Item Lava bones, amount: 1	
