[4/19/23 11:48AM] Login. ip: 156.200.176.219, mac: 4ST320320221201061212.000000+120, uuid: DC-1B-A1-AA-68-75	
[4/19/23 11:48AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 11:48AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 11:49AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 11:49AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 11:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:49AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 11:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:49AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 11:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:49AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 11:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:49AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 11:49AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 11:49AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:50AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 11:50AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:50AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 11:50AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:51AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 11:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:54AM] Picked up gr.Item Coin, amount: 200	
[4/19/23 11:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:54AM] Picked up gr.Item Coin, amount: 200	
[4/19/23 11:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:55AM] Picked up gr.Item Coin, amount: 200	
[4/19/23 11:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:56AM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/19/23 11:56AM] Picked up gr.Item Coin, amount: 200	
[4/19/23 11:56AM] Picked up gr.Item Lava bones, amount: 4	
[4/19/23 11:56AM] Picked up gr.Item Coin, amount: 200	
[4/19/23 11:56AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:57AM] Picked up gr.Item Coin, amount: 300	
[4/19/23 11:57AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 11:57AM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 11:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:57AM] Picked up gr.Item Coin, amount: 300	
[4/19/23 11:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:57AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 11:58AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 11:58AM] Picked up gr.Item Coin, amount: 300	
[4/19/23 11:58AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 11:58AM] Picked up gr.Item Coin, amount: 300	
[4/19/23 11:58AM] Picked up gr.Item Coin, amount: 600	
[4/19/23 11:58AM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 11:58AM] Picked up gr.Item Coin, amount: 300	
[4/19/23 11:58AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 11:58AM] Picked up gr.Item Coin, amount: 300	
[4/19/23 11:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 11:58AM] Picked up gr.Item Coin, amount: 300	
