[4/17/23 12:35PM] Login. ip: 98.144.232.178, mac: 9MKJ4Z220220417000953.000000-360, uuid: B0-68-E6-63-6B-BA	
[4/17/23 12:39PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 12:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:40PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 12:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:40PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 12:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:40PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 12:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:40PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 12:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:41PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 12:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:41PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 12:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:41PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 12:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:42PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 12:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:42PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 12:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:43PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:43PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:43PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:44PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:44PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:44PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:45PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:45PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:45PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:45PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:45PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:46PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:46PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:46PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:46PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:46PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:46PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:46PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:46PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:47PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:47PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:47PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:48PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:48PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:48PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:48PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 12:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:56PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:56PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:57PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:57PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:57PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:58PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:58PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:58PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:58PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:58PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:58PM] Picked up gr.Item Lava bones, amount: 2	
[4/17/23 12:58PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:59PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:59PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:59PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:59PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:59PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 12:59PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 12:59PM] Picked up gr.Item Lava bones, amount: 2	
[4/17/23 01:00PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 01:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:00PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 01:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:00PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 01:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:00PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 01:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:00PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 01:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:01PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 01:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:01PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 01:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:01PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 01:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:01PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 01:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:02PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 01:02PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:02PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 01:02PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:03PM] Picked up gr.Item Lava bones, amount: 2	
[4/17/23 01:03PM] Picked up gr.Item Coin, amount: 400	
[4/17/23 01:04PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 01:04PM] Picked up gr.Item Coin, amount: 400	
[4/17/23 01:04PM] Picked up gr.Item Coin, amount: 400	
[4/17/23 01:04PM] Picked up gr.Item Lava bones, amount: 1	
