[4/15/23 09:54PM] Login. ip: 74.74.71.41, mac: 20201119035852.000000-300, uuid: 00-13-3B-0F-74-80	
[4/15/23 09:55PM] (CC) Help. Said: What is the xp rate for veteran mode?	
[4/15/23 09:55PM] (CC) Help. Said: Ironman it is	
[4/15/23 09:56PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 09:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:57PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 09:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:57PM] Picked up gr.Item Coin, amount: 300	
[4/15/23 09:57PM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 09:57PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 09:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:57PM] (CC) Help. Said:  damn should have done veteran this is way to fast lol	
[4/15/23 09:57PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 09:57PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 09:57PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 09:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:58PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 09:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:58PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 09:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:58PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 09:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:58PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 09:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:58PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 09:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 09:58PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 09:59PM] Picked up gr.Item Lava bones, amount: 1	
