[4/15/23 09:56AM] Login. ip: 24.74.220.235, mac: JXKPR3320221120212622.000000-300, uuid: A4-BB-6D-4B-18-09	
[4/15/23 10:00AM] (CC) Help. Said:  any referal codes?	
[4/15/23 10:05AM] (CC) Help. Said:  do different pick axes change afk ticket rate?	
[4/15/23 02:00PM] Gave item in trade to Vibes. Id: 23020, amount: 1	
[4/16/23 06:10AM] Login. ip: 24.74.220.235, mac: JXKPR3320221120212622.000000-300, uuid: A4-BB-6D-4B-18-09	
[4/16/23 06:33AM] Gave item in trade to Vibes. Id: 1265, amount: 1	
[4/16/23 06:33AM] Receiving item from trade with Vibes Id: 23134, amount: 1	
[4/16/23 06:33AM] Receiving item from trade with Vibes Id: 19886, amount: 1	
[4/16/23 06:33AM] Receiving item from trade with Vibes Id: 21063, amount: 1	
[4/16/23 06:33AM] Receiving item from trade with Vibes Id: 23144, amount: 1	
[4/16/23 06:33AM] Receiving item from trade with Vibes Id: 12864, amount: 1	
[4/16/23 06:33AM] Receiving item from trade with Vibes Id: 13305, amount: 1	
[4/16/23 06:33AM] Receiving item from trade with Vibes Id: 5428, amount: 1	
[4/16/23 06:33AM] Receiving item from trade with Vibes Id: 20400, amount: 1	
[4/16/23 06:33AM] Receiving item from trade with Vibes Id: 13306, amount: 1	
[4/16/23 06:33AM] Receiving item from trade with Vibes Id: 8335, amount: 1	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 2023, amount: 360	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 995, amount: 4125467	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 10835, amount: 678	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 23134, amount: 1	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 19886, amount: 1	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 21063, amount: 1	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 13306, amount: 1	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 8335, amount: 1	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 13305, amount: 1	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 5428, amount: 1	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 20400, amount: 1	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 23144, amount: 1	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 12864, amount: 1	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 5023, amount: 27	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 15358, amount: 1	
[4/16/23 06:41AM] Gave item in trade to Vibes. Id: 15359, amount: 1	
[4/16/23 06:41AM] Receiving item from trade with Vibes Id: 5020, amount: 790	
[4/16/23 06:41AM] Receiving item from trade with Vibes Id: 1265, amount: 1	
[4/16/23 12:53PM] Login. ip: 24.74.220.235, mac: JXKPR3320221120212622.000000-300, uuid: A4-BB-6D-4B-18-09	
[4/16/23 01:49PM] Player dropping item: Bronze pickaxe, amount: 1	
[4/16/23 01:57PM] Gave item in trade to Vibes. Id: 943, amount: 1	
[4/16/23 01:57PM] Gave item in trade to Vibes. Id: 945, amount: 1	
[4/16/23 01:57PM] Gave item in trade to Vibes. Id: 943, amount: 1	
[4/16/23 01:57PM] Gave item in trade to Vibes. Id: 1005, amount: 1	
[4/16/23 01:57PM] Gave item in trade to Vibes. Id: 913, amount: 1	
