[4/19/23 07:38AM] Login. ip: 82.15.32.47, mac: CND8232RZX20221226231956.000000+000, uuid: D2-32-4B-A2-82-43	
[4/19/23 07:39AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 07:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 07:40AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:40AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 07:40AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 07:40AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 07:41AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 07:41AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:41AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:41AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 07:42AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 07:42AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:43AM] Login. ip: 82.15.32.47, mac: CND8232RZX20221226231956.000000+000, uuid: D2-32-4B-A2-82-43	
[4/19/23 07:43AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:43AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 07:43AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 07:43AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:44AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 07:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 07:46AM] Login. ip: 82.15.32.47, mac: CND8232RZX20221226231956.000000+000, uuid: D2-32-4B-A2-82-43	
[4/19/23 07:46AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:46AM] Picked up gr.Item Coin, amount: 200	
[4/19/23 07:46AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:50AM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/19/23 07:55AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 07:55AM] Picked up gr.Item Coin, amount: 400	
[4/19/23 07:56AM] Picked up gr.Item Coin, amount: 500	
[4/19/23 07:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 07:57AM] Picked up gr.Item Blurite Boots, amount: 1	
[4/19/23 07:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 07:58AM] Picked up gr.Item Coin, amount: 500	
[4/19/23 08:00AM] Picked up gr.Item Imperial Box, amount: 1	
[4/19/23 08:06AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 08:07AM] Picked up gr.Item Imperial gloves, amount: 1	
[4/19/23 08:07AM] Picked up gr.Item Imperial helm, amount: 1	
[4/19/23 08:07AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 08:07AM] Picked up gr.Item Coin, amount: 700	
[4/19/23 08:07AM] Picked up gr.Item Lava bones, amount: 4	
[4/19/23 08:08AM] Picked up gr.Item Imperial gloves, amount: 1	
[4/19/23 08:08AM] Picked up gr.Item Coin, amount: 700	
[4/19/23 08:08AM] Picked up gr.Item Coin, amount: 2100	
[4/19/23 08:08AM] Picked up gr.Item Imperial body, amount: 1	
[4/19/23 08:08AM] Picked up gr.Item Imperial body, amount: 1	
[4/19/23 08:09AM] Picked up gr.Item Imperial ring, amount: 1	
[4/19/23 08:09AM] Picked up gr.Item Imperial ring, amount: 1	
[4/19/23 08:10AM] Picked up gr.Item Imperial boots, amount: 1	
[4/19/23 08:12AM] Picked up gr.Item Coin, amount: 1600	
[4/19/23 08:12AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 08:12AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 08:13AM] Picked up gr.Item Coin, amount: 800	
[4/19/23 08:14AM] Picked up gr.Item Coin, amount: 800	
