[4/20/23 08:58AM] Login. ip: 167.179.183.237, mac: 20220807220242.000000+600, uuid: 68-54-5A-E0-6F-BE	
[4/20/23 09:02AM] Receiving item from trade with Cheech Id: 19481, amount: 1	
[4/20/23 09:02AM] Receiving item from trade with Cheech Id: 8335, amount: 1	
[4/20/23 09:02AM] Receiving item from trade with Cheech Id: 23054, amount: 1	
[4/20/23 09:02AM] Receiving item from trade with Cheech Id: 22143, amount: 1	
[4/20/23 09:02AM] Receiving item from trade with Cheech Id: 23051, amount: 1	
[4/20/23 09:02AM] Receiving item from trade with Cheech Id: 14307, amount: 1	
[4/20/23 09:02AM] Receiving item from trade with Cheech Id: 12864, amount: 1	
[4/20/23 09:02AM] Receiving item from trade with Cheech Id: 7995, amount: 1	
[4/20/23 09:02AM] Receiving item from trade with Cheech Id: 4686, amount: 1	
[4/20/23 09:02AM] Receiving item from trade with Cheech Id: 4684, amount: 1	
[4/20/23 09:06AM] Picked up gr.Item Imperial boots, amount: 1	
[4/20/23 09:06AM] Picked up gr.Item Imperial boots, amount: 1	
[4/20/23 09:08AM] Player dropping item: Starter Defender, amount: 1	
[4/20/23 09:08AM] Player dropping item: Starter Gloves, amount: 1	
[4/20/23 09:08AM] Player dropping item: Starter Cape, amount: 1	
[4/20/23 09:08AM] Player dropping item: Starter Cannon, amount: 1	
[4/20/23 09:08AM] Player dropping item: Starter Blade, amount: 1	
[4/20/23 09:08AM] Player dropping item: Starter Staff, amount: 1	
[4/20/23 09:08AM] Player dropping item: Starter Body, amount: 1	
[4/20/23 09:08AM] Player dropping item: Starter Legs, amount: 1	
[4/20/23 09:08AM] Player dropping item: Starter Helm, amount: 1	
[4/20/23 09:08AM] Player dropping item: Starter Boots, amount: 1	
[4/20/23 09:08AM] Player dropping item: Starter Ring, amount: 1	
[4/20/23 09:09AM] Receiving item from trade with Cheech Id: 2023, amount: 8229	
[4/20/23 09:11AM] Picked up gr.Item Imperial Box, amount: 1	
[4/20/23 09:12AM] Picked up gr.Item Imperial Box, amount: 1	
