[4/18/23 10:53PM] Login. ip: 85.148.172.206, mac: 20221031174703.000000+060, uuid: FC-AA-14-B1-B0-56	
[4/18/23 10:54PM] (CC) Help. Said: Is it possible to reset account?	
[4/18/23 10:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:54PM] Picked up gr.Item Coin, amount: 100	
[4/18/23 10:55PM] Picked up gr.Item Coin, amount: 100	
[4/18/23 10:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:55PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:55PM] Picked up gr.Item Lava bones, amount: 2	
[4/18/23 10:55PM] Picked up gr.Item Coin, amount: 100	
[4/18/23 10:55PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:56PM] (CC) Help. Said: Yes like reset password	
[4/18/23 10:56PM] (CC) Help. Said: I vant log in anymore 	
[4/18/23 10:56PM] Picked up gr.Item Coin, amount: 100	
[4/18/23 10:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:56PM] Picked up gr.Item Coin, amount: 100	
[4/18/23 10:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:56PM] Picked up gr.Item Coin, amount: 100	
[4/18/23 10:56PM] (CC) Help. Said: Yes	
[4/18/23 10:56PM] Picked up gr.Item Coin, amount: 100	
[4/18/23 10:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:56PM] Picked up gr.Item Coin, amount: 100	
[4/18/23 10:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:57PM] Picked up gr.Item Coin, amount: 100	
[4/18/23 10:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:57PM] Picked up gr.Item Coin, amount: 100	
[4/18/23 10:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:58PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:58PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:58PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:58PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:58PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:58PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:58PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/18/23 10:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:58PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:58PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:59PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:59PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:59PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:59PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:59PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:59PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:59PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:59PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:59PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 10:59PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 10:59PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 11:00PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 11:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 11:00PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 11:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 11:00PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 11:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 11:00PM] Picked up gr.Item Coin, amount: 200	
[4/18/23 11:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 11:00PM] Picked up gr.Item Coin, amount: 300	
[4/18/23 11:00PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 11:01PM] Picked up gr.Item Lava bones, amount: 3	
[4/18/23 11:01PM] Picked up gr.Item Coin, amount: 900	
[4/18/23 11:01PM] Picked up gr.Item Coin, amount: 300	
[4/18/23 11:01PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 11:01PM] Picked up gr.Item Coin, amount: 600	
[4/18/23 11:01PM] Picked up gr.Item Coin, amount: 300	
