[4/19/23 01:00PM] Login. ip: 76.156.174.128, mac: CND8056P7820200320062345.000000-360, uuid: A2-D3-7A-D1-7E-91	
[4/19/23 01:05PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:05PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 01:05PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 01:06PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 01:06PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:07PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 01:07PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:07PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 01:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:08PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 01:08PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:08PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 01:08PM] Receiving item from trade with Cheezyps3 Id: 20087, amount: 1	
[4/19/23 01:09PM] PROGRESSION_ZONES|3041,10275,0|Said: Thanks man 	
[4/19/23 01:19PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:19PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 01:19PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:20PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 01:20PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 01:22PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/19/23 01:22PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:22PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:22PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:22PM] Picked up gr.Item Lava bones, amount: 4	
[4/19/23 01:22PM] Picked up gr.Item Blurite Box, amount: 1	
[4/19/23 01:24PM] Picked up gr.Item Lava bones, amount: 5	
[4/19/23 01:24PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 01:24PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 01:25PM] Picked up gr.Item Blurite Box, amount: 1	
[4/19/23 01:25PM] Picked up gr.Item Blurite Box, amount: 1	
[4/19/23 01:25PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 01:25PM] Player dropping item: Vial, amount: 1	
[4/19/23 01:25PM] Player dropping item: Vial, amount: 1	
[4/19/23 01:27PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/19/23 01:27PM] Picked up gr.Item Coin, amount: 500	
[4/19/23 01:46PM] Picked up gr.Item Lava bones, amount: 50	
[4/19/23 10:37PM] Login. ip: 76.156.174.128, mac: CND8056P7820200320062345.000000-360, uuid: A2-D3-7A-D1-7E-91	
[4/19/23 10:38PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:39PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 10:39PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 10:39PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 10:39PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 10:40PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 10:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:40PM] Picked up gr.Item Coin, amount: 2000	
