[4/17/23 12:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Astro	
[4/17/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Astro	
[4/17/23 12:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: Astro	
[4/17/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Astro	
[4/17/23 12:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: Astro	
[4/17/23 12:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: Astro	
[4/17/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Astro	
[4/17/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Astro	
[4/17/23 12:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: Astro	
[4/17/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Astro	
[4/17/23 12:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: Astro	
[4/17/23 12:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Astro	
[4/17/23 12:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: Astro	
[4/17/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Astro	
[4/17/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Astro	
[4/17/23 12:09PM] Player picked up item: Coin, id: 995, amount: 1339094, owner: Astro	
[4/17/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Astro	
[4/17/23 12:09PM] Player picked up item: Coin, id: 995, amount: 1919615, owner: Astro	
[4/17/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Astro	
[4/17/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Astro	
[4/17/23 12:10PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Astro	
[4/17/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Astro	
[4/17/23 12:10PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Astro	
[4/17/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Astro	
[4/17/23 12:11PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Astro	
[4/17/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Astro	
[4/17/23 12:12PM] Player picked up item: Coin, id: 995, amount: 2600058, owner: Astro	
[4/17/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Astro	
[4/17/23 12:12PM] Player picked up item: Coin, id: 995, amount: 3062744, owner: Astro	
[4/17/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Astro	
[4/17/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Astro	
[4/17/23 12:13PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Astro	
[4/17/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Astro	
[4/17/23 12:14PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Astro	
[4/17/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Astro	
[4/17/23 12:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Astro	
[4/17/23 12:15PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Astro	
[4/17/23 12:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Astro	
[4/17/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Astro	
[4/17/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Astro	
[4/17/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Astro	
[4/17/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Astro	
[4/17/23 12:17PM] Player picked up item: Coin, id: 995, amount: 2234029, owner: Astro	
[4/17/23 12:17PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Astro	
[4/17/23 12:18PM] Player picked up item: Coin, id: 995, amount: 2024248, owner: Astro	
[4/17/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Astro	
[4/17/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Astro	
[4/17/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Astro	
[4/17/23 12:19PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Astro	
[4/17/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Astro	
[4/17/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Astro	
[4/17/23 12:19PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Astro	
